cell_id,Selasphorus flammula,Selasphorus flammula flammula,Selasphorus flammula torridus,Selasphorus flammula simoni
8266b7fffffffff,317.0,3.0,257.0,0.0
826d6ffffffffff,32.0,0.0,0.0,31.0
