cell_id,Vanellus indicus,Vanellus indicus [indicus Group],Vanellus indicus atronuchalis
82196ffffffffff,2.0,0.0,0.0
822c37fffffffff,30.0,0.0,0.0
822c97fffffffff,32.0,0.0,0.0
822daffffffffff,48.0,0.0,0.0
822db7fffffffff,8.0,0.0,0.0
823c07fffffffff,14.0,0.0,0.0
823c0ffffffffff,2.0,0.0,0.0
823c17fffffffff,1.0,0.0,0.0
823c1ffffffffff,27.0,0.0,0.0
823c37fffffffff,3.0,0.0,0.0
823c87fffffffff,2.0,0.0,0.0
823c8ffffffffff,42.0,0.0,0.0
823c9ffffffffff,25.0,0.0,0.0
823caffffffffff,9.0,0.0,0.0
823cc7fffffffff,4.0,0.0,0.0
823ce7fffffffff,2.0,0.0,0.0
823ceffffffffff,5.0,0.0,0.0
823cf7fffffffff,79.0,0.0,0.0
823d07fffffffff,19.0,0.0,0.0
823d87fffffffff,6.0,0.0,0.0
823d8ffffffffff,11.0,0.0,0.0
823d97fffffffff,4.0,0.0,0.0
823da7fffffffff,5.0,0.0,0.0
823db7fffffffff,8.0,0.0,0.0
823e6ffffffffff,2.0,0.0,0.0
8242c7fffffffff,19.0,0.0,0.0
8242cffffffffff,22.0,0.0,0.0
8242dffffffffff,9.0,0.0,0.0
8243a7fffffffff,5.0,0.0,0.0
8243affffffffff,3.0,0.0,0.0
82536ffffffffff,5.0,0.0,0.0
826007fffffffff,97.0,0.0,0.0
826017fffffffff,38.0,0.0,0.0
82601ffffffffff,3.0,0.0,0.0
826027fffffffff,90.0,0.0,0.0
826037fffffffff,72.0,0.0,0.0
82608ffffffffff,32.0,0.0,0.0
826097fffffffff,34.0,0.0,0.0
82609ffffffffff,39.0,0.0,0.0
8260a7fffffffff,5.0,0.0,0.0
8260affffffffff,50.0,0.0,0.0
8260b7fffffffff,17.0,0.0,0.0
826107fffffffff,2.0,0.0,0.0
82611ffffffffff,2.0,0.0,0.0
82618ffffffffff,24.0,0.0,0.0
82619ffffffffff,4.0,0.0,0.0
82648ffffffffff,1.0,0.0,0.0
8264b7fffffffff,9.0,0.0,0.0
826507fffffffff,115.0,0.0,0.0
82651ffffffffff,238.0,0.0,0.0
826527fffffffff,206.0,0.0,0.0
