cell_id,Pellorneum malaccense,Pellorneum malaccense malaccense,Pellorneum malaccense saturatum,Pellorneum malaccense poliogene
826437fffffffff,75.0,2.0,0.0,0.0
826507fffffffff,255.0,0.0,0.0,0.0
82650ffffffffff,2.0,0.0,0.0,0.0
82651ffffffffff,95.0,1.0,0.0,0.0
826527fffffffff,447.0,0.0,0.0,0.0
82652ffffffffff,2.0,0.0,0.0,0.0
826807fffffffff,42.0,0.0,0.0,0.0
826817fffffffff,37.0,0.0,0.0,1.0
82681ffffffffff,462.0,0.0,0.0,7.0
82688ffffffffff,9.0,0.0,0.0,0.0
826897fffffffff,4.0,0.0,0.0,0.0
8268a7fffffffff,6.0,0.0,0.0,0.0
8268b7fffffffff,3.0,0.0,0.0,0.0
828c1ffffffffff,11.0,0.0,0.0,0.0
828c97fffffffff,22.0,0.0,3.0,0.0
828caffffffffff,20.0,0.0,0.0,0.0
828cd7fffffffff,6.0,0.0,0.0,0.0
