cell_id,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota [pyrrhonota Group],Petrochelidon pyrrhonota melanogaster
820747fffffffff,2.0,0.0,0.0
82075ffffffffff,6.0,0.0,0.0
820777fffffffff,3.0,0.0,0.0
820c17fffffffff,29.0,0.0,0.0
820c1ffffffffff,11.0,0.0,0.0
820c37fffffffff,14.0,0.0,0.0
820c57fffffffff,1.0,0.0,0.0
820c5ffffffffff,27.0,0.0,0.0
820c67fffffffff,9.0,0.0,0.0
820c77fffffffff,16.0,0.0,0.0
820ca7fffffffff,21.0,0.0,0.0
820d07fffffffff,1.0,0.0,0.0
820d4ffffffffff,7.0,0.0,0.0
820d57fffffffff,8.0,0.0,0.0
820d5ffffffffff,1.0,0.0,0.0
820d77fffffffff,2.0,0.0,0.0
820ecffffffffff,22.0,0.0,0.0
820eeffffffffff,21.0,0.0,0.0
821237fffffffff,1.0,0.0,0.0
821287fffffffff,4.0,0.0,0.0
82128ffffffffff,2.0,0.0,0.0
8212b7fffffffff,17.0,0.0,0.0
8212c7fffffffff,12.0,0.0,0.0
8212cffffffffff,36.0,0.0,0.0
8212d7fffffffff,8.0,0.0,0.0
8212dffffffffff,6.0,0.0,0.0
8212effffffffff,8.0,2.0,0.0
821387fffffffff,83.0,0.0,0.0
82138ffffffffff,17.0,0.0,0.0
821397fffffffff,2.0,0.0,0.0
82139ffffffffff,4.0,0.0,0.0
8213a7fffffffff,2.0,0.0,0.0
8213b7fffffffff,2.0,0.0,0.0
82165ffffffffff,2.0,0.0,0.0
82182ffffffffff,1.0,0.0,0.0
821877fffffffff,4.0,0.0,0.0
82194ffffffffff,5.0,0.0,0.0
821aa7fffffffff,57.0,0.0,0.0
821aaffffffffff,1.0,0.0,0.0
821ab7fffffffff,2.0,0.0,0.0
8222dffffffffff,70.0,0.0,0.0
822607fffffffff,7.0,0.0,0.0
82260ffffffffff,25.0,16.0,0.0
822617fffffffff,8.0,0.0,0.0
82261ffffffffff,7.0,0.0,0.0
822627fffffffff,9.0,0.0,0.0
82262ffffffffff,17.0,0.0,0.0
822647fffffffff,74.0,5.0,0.0
82264ffffffffff,244.0,31.0,0.0
822657fffffffff,64.0,0.0,0.0
82265ffffffffff,57.0,10.0,0.0
822667fffffffff,64.0,0.0,0.0
82266ffffffffff,43.0,0.0,0.0
822677fffffffff,14.0,0.0,0.0
