cell_id,Peucaea ruficauda,Peucaea ruficauda acuminata,Peucaea ruficauda [ruficauda Group]
834525fffffffff,5.0,0.0,0.0
834836fffffffff,1.0,0.0,0.0
834980fffffffff,2.0,0.0,0.0
834994fffffffff,4.0,0.0,0.0
834995fffffffff,2.0,0.0,0.0
8349b3fffffffff,2.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
836d14fffffffff,4.0,0.0,0.0
836d29fffffffff,9.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d2bfffffffff,2.0,0.0,0.0
836d31fffffffff,3.0,0.0,0.0
836d65fffffffff,3.0,0.0,0.0
836d68fffffffff,5.0,0.0,0.0
836d69fffffffff,21.0,0.0,0.0
836d6efffffffff,3.0,0.0,0.0
836d76fffffffff,8.0,0.0,0.0
