cell_id,Fringilla canariensis,Fringilla canariensis canariensis/ombriosa,Fringilla canariensis palmae
8434403ffffffff,15.0,0.0,11.0
8434413ffffffff,190.0,138.0,0.0
8434415ffffffff,42.0,0.0,37.0
8434417ffffffff,102.0,81.0,0.0
8434433ffffffff,10.0,8.0,0.0
8434439ffffffff,6.0,0.0,6.0
84344c5ffffffff,3.0,3.0,0.0
84344cbffffffff,195.0,147.0,0.0
84344cdffffffff,133.0,104.0,0.0
84346a7ffffffff,171.0,151.0,0.0
84346b5ffffffff,2.0,2.0,0.0
84346b7ffffffff,2.0,2.0,0.0
