cell_id,Geranoaetus polyosoma,Geranoaetus polyosoma polyosoma,Geranoaetus polyosoma exsul,Geranoaetus polyosoma (Puna),Geranoaetus polyosoma (Red-backed)
82269ffffffffff,4.0,0.0,0.0,0.0,2.0
8266d7fffffffff,16.0,0.0,0.0,0.0,2.0
8266dffffffffff,9.0,6.0,0.0,0.0,3.0
8266e7fffffffff,1.0,0.0,0.0,0.0,1.0
828b27fffffffff,19.0,0.0,0.0,8.0,11.0
828b2ffffffffff,38.0,0.0,0.0,11.0,20.0
828b67fffffffff,5.0,4.0,0.0,0.0,0.0
828e67fffffffff,43.0,8.0,0.0,7.0,10.0
828f0ffffffffff,5.0,0.0,0.0,0.0,0.0
828f2ffffffffff,4.0,2.0,0.0,0.0,1.0
828f57fffffffff,10.0,3.0,0.0,0.0,5.0
828f5ffffffffff,2.0,0.0,0.0,2.0,0.0
82b21ffffffffff,3.0,0.0,0.0,0.0,3.0
82b247fffffffff,4.0,0.0,0.0,0.0,4.0
82b24ffffffffff,4.0,0.0,0.0,0.0,0.0
82b25ffffffffff,9.0,0.0,0.0,0.0,6.0
82b2c7fffffffff,170.0,4.0,0.0,0.0,153.0
82b2cffffffffff,26.0,2.0,0.0,0.0,20.0
82b2dffffffffff,27.0,2.0,0.0,0.0,22.0
82b2e7fffffffff,24.0,0.0,0.0,0.0,20.0
82b2effffffffff,2.0,0.0,0.0,0.0,1.0
82b307fffffffff,33.0,0.0,0.0,1.0,32.0
82b30ffffffffff,22.0,0.0,0.0,6.0,16.0
82b327fffffffff,29.0,0.0,0.0,14.0,13.0
82b32ffffffffff,14.0,0.0,0.0,9.0,5.0
82b337fffffffff,1.0,0.0,0.0,1.0,0.0
82b347fffffffff,9.0,0.0,0.0,0.0,0.0
82b357fffffffff,3.0,0.0,0.0,1.0,2.0
82b35ffffffffff,7.0,0.0,0.0,0.0,2.0
82b377fffffffff,4.0,0.0,0.0,0.0,4.0
82c21ffffffffff,2.0,0.0,0.0,0.0,0.0
82c227fffffffff,3.0,0.0,0.0,0.0,0.0
82c327fffffffff,6.0,0.0,0.0,0.0,6.0
82c32ffffffffff,11.0,4.0,0.0,0.0,7.0
82c357fffffffff,6.0,0.0,0.0,0.0,2.0
82ce87fffffffff,23.0,0.0,0.0,0.0,8.0
82ce8ffffffffff,37.0,0.0,0.0,0.0,34.0
82ce97fffffffff,2.0,0.0,0.0,0.0,2.0
82ce9ffffffffff,18.0,0.0,0.0,0.0,18.0
82ceaffffffffff,7.0,2.0,0.0,0.0,5.0
82cf8ffffffffff,2.0,0.0,0.0,0.0,2.0
82de77fffffffff,1.0,0.0,0.0,0.0,1.0
82df6ffffffffff,2.0,0.0,0.0,0.0,2.0
