cell_id,Aramus guarauna,Aramus guarauna [pictus Group],Aramus guarauna guarauna
8426017ffffffff,6.0,4.0,0.0
84260e3ffffffff,34.0,4.0,0.0
842626bffffffff,4.0,0.0,0.0
84262a7ffffffff,15.0,3.0,0.0
84262e1ffffffff,1.0,0.0,0.0
8426421ffffffff,1.0,0.0,0.0
8426437ffffffff,8.0,0.0,0.0
842643dffffffff,1.0,0.0,0.0
842644bffffffff,1.0,0.0,0.0
8426459ffffffff,42.0,0.0,0.0
8426463ffffffff,43.0,0.0,0.0
8426467ffffffff,9.0,0.0,0.0
8426489ffffffff,57.0,0.0,0.0
8426493ffffffff,3.0,0.0,0.0
84264a1ffffffff,2.0,0.0,0.0
84264a7ffffffff,8.0,0.0,0.0
84264c7ffffffff,2.0,0.0,0.0
84264d1ffffffff,4.0,0.0,0.0
84264dbffffffff,3.0,1.0,0.0
8426521ffffffff,4.0,0.0,0.0
842652bffffffff,11.0,0.0,0.0
8426533ffffffff,23.0,2.0,0.0
8426537ffffffff,6.0,0.0,0.0
842653bffffffff,1.0,0.0,0.0
8426555ffffffff,12.0,0.0,0.0
8426561ffffffff,2.0,0.0,0.0
8426563ffffffff,7.0,0.0,0.0
8426567ffffffff,33.0,2.0,0.0
8426599ffffffff,3.0,1.0,0.0
842659bffffffff,1.0,0.0,0.0
84265a3ffffffff,5.0,0.0,0.0
84265b3ffffffff,1.0,0.0,0.0
84265b5ffffffff,6.0,0.0,0.0
84265b9ffffffff,9.0,2.0,0.0
84265c1ffffffff,2.0,0.0,0.0
84265d3ffffffff,5.0,0.0,0.0
84265d5ffffffff,3.0,2.0,0.0
84265d7ffffffff,2.0,0.0,0.0
84265dbffffffff,4.0,0.0,0.0
8426617ffffffff,2.0,0.0,0.0
8426625ffffffff,1.0,0.0,0.0
8426641ffffffff,2.0,0.0,0.0
8426645ffffffff,5.0,0.0,0.0
8426649ffffffff,16.0,0.0,0.0
842664bffffffff,15.0,0.0,0.0
8426665ffffffff,31.0,0.0,0.0
84266a9ffffffff,1.0,0.0,0.0
84266b5ffffffff,10.0,0.0,0.0
84266c5ffffffff,47.0,0.0,0.0
84266d5ffffffff,4.0,0.0,0.0
84266dbffffffff,17.0,0.0,0.0
84266e1ffffffff,1.0,0.0,0.0
8426711ffffffff,10.0,0.0,0.0
8426745ffffffff,8.0,2.0,0.0
842681bffffffff,9.0,2.0,0.0
84268c3ffffffff,30.0,0.0,0.0
8426c1bffffffff,2.0,0.0,0.0
8426c43ffffffff,1.0,1.0,0.0
8426c83ffffffff,7.0,0.0,0.0
8426c87ffffffff,15.0,0.0,0.0
8426c93ffffffff,1.0,0.0,0.0
8426cabffffffff,2.0,0.0,0.0
8426cb9ffffffff,2.0,0.0,0.0
8426cbdffffffff,20.0,0.0,0.0
8426cebffffffff,4.0,0.0,0.0
8426d1bffffffff,2.0,0.0,0.0
8426e09ffffffff,3.0,0.0,0.0
8426e11ffffffff,1.0,0.0,0.0
8426e1bffffffff,6.0,1.0,0.0
8426e2dffffffff,9.0,0.0,0.0
8426e3dffffffff,3.0,0.0,0.0
8426e43ffffffff,3.0,0.0,0.0
8426ecdffffffff,2.0,0.0,0.0
8426ed7ffffffff,20.0,0.0,0.0
8426ee3ffffffff,39.0,0.0,0.0
8426ee9ffffffff,1.0,0.0,0.0
8427431ffffffff,3.0,1.0,0.0
8427435ffffffff,4.0,0.0,0.0
8427481ffffffff,14.0,0.0,0.0
8427489ffffffff,5.0,0.0,0.0
842749dffffffff,5.0,0.0,0.0
84274b1ffffffff,1.0,0.0,0.0
84274bbffffffff,1.0,0.0,0.0
84274d3ffffffff,12.0,0.0,0.0
84274e3ffffffff,71.0,0.0,0.0
8427513ffffffff,1.0,0.0,0.0
8427527ffffffff,105.0,0.0,0.0
8427587ffffffff,9.0,0.0,0.0
8427591ffffffff,16.0,0.0,0.0
8427593ffffffff,19.0,0.0,0.0
8427595ffffffff,3.0,0.0,0.0
8427599ffffffff,15.0,0.0,0.0
842759bffffffff,39.0,0.0,0.0
84275b3ffffffff,1.0,0.0,0.0
84275b9ffffffff,1.0,0.0,0.0
84275c1ffffffff,1.0,0.0,0.0
84275c3ffffffff,19.0,0.0,0.0
84275d1ffffffff,5.0,0.0,0.0
84275d3ffffffff,2.0,0.0,0.0
84275d7ffffffff,1.0,0.0,0.0
84275ddffffffff,6.0,0.0,0.0
84276b7ffffffff,10.0,0.0,0.0
842a139ffffffff,10.0,2.0,0.0
842a839ffffffff,2.0,0.0,0.0
842a859ffffffff,6.0,0.0,0.0
842a86dffffffff,19.0,0.0,0.0
842a893ffffffff,3.0,0.0,0.0
842a8c1ffffffff,11.0,0.0,0.0
842a8e3ffffffff,29.0,0.0,0.0
842a907ffffffff,2.0,0.0,0.0
842a919ffffffff,3.0,0.0,0.0
842a925ffffffff,2.0,0.0,0.0
842a931ffffffff,8.0,2.0,0.0
842a935ffffffff,3.0,0.0,0.0
842a939ffffffff,2.0,0.0,0.0
842a949ffffffff,56.0,2.0,0.0
842a9c1ffffffff,3.0,0.0,0.0
842a9cbffffffff,2.0,0.0,0.0
842aa43ffffffff,9.0,0.0,0.0
842aa85ffffffff,18.0,2.0,0.0
842aa8dffffffff,3.0,1.0,0.0
842aaabffffffff,35.0,0.0,0.0
842aab7ffffffff,19.0,0.0,0.0
842aabdffffffff,1.0,0.0,0.0
842aacdffffffff,27.0,0.0,0.0
842aae7ffffffff,25.0,4.0,0.0
842aae9ffffffff,1.0,0.0,0.0
842ab03ffffffff,7.0,0.0,0.0
842ab13ffffffff,5.0,0.0,0.0
842ab25ffffffff,8.0,0.0,0.0
842ab27ffffffff,13.0,0.0,0.0
842ab2bffffffff,14.0,0.0,0.0
842ab31ffffffff,5.0,0.0,0.0
842ab33ffffffff,12.0,0.0,0.0
842ab3dffffffff,13.0,0.0,0.0
842ad07ffffffff,1.0,0.0,0.0
842ad35ffffffff,62.0,0.0,0.0
842ad5dffffffff,2.0,0.0,0.0
842ad6dffffffff,14.0,0.0,0.0
842af0dffffffff,5.0,2.0,0.0
842af65ffffffff,8.0,0.0,0.0
842b0e7ffffffff,9.0,1.0,0.0
842b833ffffffff,5.0,0.0,0.0
842b9a9ffffffff,24.0,0.0,0.0
842b9b3ffffffff,31.0,8.0,0.0
8444125ffffffff,10.0,0.0,0.0
8444133ffffffff,2.0,0.0,0.0
8444135ffffffff,4.0,4.0,0.0
8444137ffffffff,32.0,0.0,0.0
844413dffffffff,19.0,4.0,0.0
844415dffffffff,4.0,0.0,0.0
8444165ffffffff,4.0,0.0,0.0
844416bffffffff,15.0,0.0,0.0
84441a1ffffffff,5.0,0.0,0.0
84441a7ffffffff,23.0,0.0,0.0
84441a9ffffffff,2.0,0.0,0.0
84441b5ffffffff,1.0,0.0,0.0
84441b7ffffffff,6.0,0.0,0.0
84441e5ffffffff,132.0,4.0,0.0
84441e7ffffffff,10.0,0.0,0.0
8444363ffffffff,4.0,0.0,0.0
8444401ffffffff,1.0,0.0,0.0
8444409ffffffff,2.0,0.0,0.0
844440dffffffff,19.0,0.0,0.0
844442dffffffff,3.0,0.0,0.0
8444439ffffffff,14.0,0.0,0.0
8444441ffffffff,3.0,0.0,0.0
8444443ffffffff,1.0,0.0,0.0
