cell_id,Megapodius freycinet,Megapodius freycinet [freycinet Group],Megapodius freycinet forsteni/buruensis
827397fffffffff,235.0,205.0,0.0
82739ffffffffff,307.0,243.0,0.0
829547fffffffff,41.0,0.0,38.0
82956ffffffffff,41.0,7.0,23.0
