cell_id,Spermophaga haematina,Spermophaga haematina haematina/togoensis,Spermophaga haematina pustulata
8354a9fffffffff,160.0,12.0,0.0
8354e2fffffffff,5.0,0.0,0.0
8354e8fffffffff,4.0,0.0,0.0
8354ebfffffffff,1.0,0.0,0.0
8354f0fffffffff,2.0,0.0,0.0
8354f1fffffffff,2.0,0.0,0.0
8354f4fffffffff,1.0,0.0,0.0
8354f5fffffffff,3.0,0.0,0.0
8354f6fffffffff,2.0,1.0,0.0
835883fffffffff,1.0,0.0,0.0
835886fffffffff,4.0,0.0,0.0
835888fffffffff,1.0,0.0,0.0
835890fffffffff,11.0,0.0,0.0
835894fffffffff,1.0,0.0,0.0
835896fffffffff,4.0,2.0,0.0
8358a6fffffffff,2.0,0.0,0.0
8358d1fffffffff,1.0,0.0,0.0
8358d3fffffffff,6.0,0.0,0.0
8358dafffffffff,1.0,0.0,0.0
836a9efffffffff,5.0,0.0,0.0
837508fffffffff,18.0,0.0,0.0
83750afffffffff,1.0,0.0,0.0
83750cfffffffff,4.0,0.0,0.0
83750dfffffffff,217.0,49.0,0.0
83750efffffffff,1.0,0.0,0.0
837518fffffffff,1.0,0.0,0.0
837519fffffffff,2.0,0.0,0.0
837520fffffffff,1.0,0.0,0.0
837525fffffffff,1.0,0.0,0.0
837529fffffffff,111.0,16.0,0.0
83752afffffffff,21.0,3.0,0.0
83752bfffffffff,2.0,0.0,0.0
83752dfffffffff,1.0,0.0,0.0
83752efffffffff,2.0,0.0,0.0
837576fffffffff,2.0,0.0,0.0
837584fffffffff,1.0,0.0,0.0
837586fffffffff,1.0,0.0,0.0
8375a0fffffffff,2.0,0.0,0.0
8375a3fffffffff,9.0,0.0,0.0
8375b0fffffffff,2.0,0.0,0.0
838212fffffffff,3.0,0.0,0.0
838284fffffffff,1.0,0.0,0.0
838288fffffffff,1.0,0.0,0.0
83828bfffffffff,9.0,0.0,4.0
83828dfffffffff,37.0,0.0,0.0
838290fffffffff,5.0,0.0,0.0
838295fffffffff,1.0,0.0,0.0
83829dfffffffff,1.0,0.0,0.0
8382a8fffffffff,4.0,0.0,0.0
8382a9fffffffff,2.0,0.0,0.0
8382aafffffffff,7.0,0.0,0.0
8382abfffffffff,2.0,0.0,0.0
8382acfffffffff,2.0,0.0,0.0
8382aefffffffff,2.0,0.0,0.0
8382d0fffffffff,13.0,0.0,0.0
8382d2fffffffff,9.0,0.0,4.0
8382d3fffffffff,6.0,0.0,0.0
8382d4fffffffff,4.0,0.0,0.0
8382f6fffffffff,2.0,0.0,0.0
83838afffffffff,1.0,0.0,0.0
83838efffffffff,2.0,0.0,1.0
