cell_id,Rhea pennata,Rhea pennata tarapacensis/garleppi,Rhea pennata pennata
82b20ffffffffff,23.0,0.0,0.0
82b22ffffffffff,3.0,0.0,0.0
82b2cffffffffff,20.0,0.0,0.0
82b2e7fffffffff,6.0,0.0,0.0
82b2effffffffff,17.0,0.0,0.0
82b307fffffffff,479.0,267.0,0.0
82b30ffffffffff,116.0,56.0,0.0
82b327fffffffff,29.0,14.0,0.0
82b32ffffffffff,3.0,2.0,0.0
82b357fffffffff,221.0,55.0,0.0
82b377fffffffff,37.0,1.0,0.0
82c307fffffffff,95.0,0.0,0.0
82c30ffffffffff,7.0,0.0,0.0
82c327fffffffff,329.0,0.0,0.0
82c32ffffffffff,132.0,0.0,0.0
82c377fffffffff,2.0,0.0,0.0
82ce87fffffffff,139.0,0.0,0.0
82ce97fffffffff,39.0,0.0,0.0
82ce9ffffffffff,211.0,0.0,0.0
82cea7fffffffff,62.0,0.0,2.0
82ceb7fffffffff,10.0,0.0,0.0
82cf17fffffffff,734.0,0.0,270.0
82cf87fffffffff,110.0,0.0,9.0
82cf8ffffffffff,526.0,0.0,110.0
82cf97fffffffff,89.0,0.0,4.0
82cf9ffffffffff,69.0,0.0,0.0
82cfa7fffffffff,1028.0,0.0,332.0
82cfaffffffffff,347.0,0.0,63.0
82cfb7fffffffff,22.0,0.0,2.0
82df4ffffffffff,19.0,0.0,5.0
82df6ffffffffff,1320.0,0.0,892.0
