cell_id,Vireolanius leucotis,Vireolanius leucotis mikettae,Vireolanius leucotis [leucotis Group]
845f407ffffffff,1.0,0.0,0.0
845f42bffffffff,1.0,0.0,0.0
845f709ffffffff,1.0,0.0,1.0
84665bdffffffff,2.0,0.0,0.0
8466c0dffffffff,5.0,0.0,0.0
8466c21ffffffff,3.0,0.0,0.0
8466c4bffffffff,5.0,0.0,0.0
8466d0bffffffff,6.0,6.0,0.0
8466d1bffffffff,15.0,0.0,15.0
8466d23ffffffff,1.0,1.0,0.0
8466d35ffffffff,3.0,3.0,0.0
8466debffffffff,6.0,0.0,6.0
848a45bffffffff,1.0,0.0,0.0
848f28dffffffff,3.0,0.0,0.0
848f291ffffffff,8.0,0.0,0.0
848f295ffffffff,4.0,0.0,0.0
848f2bbffffffff,1.0,0.0,0.0
848f2cdffffffff,2.0,0.0,0.0
