cell_id,Aegithalos iouschistos,Aegithalos iouschistos iouschistos,Aegithalos iouschistos sharpei,Aegithalos iouschistos bonvaloti/obscuratus
843c063ffffffff,3.0,0.0,0.0,0.0
843c06bffffffff,2.0,2.0,0.0,0.0
843c0a9ffffffff,9.0,7.0,0.0,0.0
843c0e7ffffffff,2.0,2.0,0.0,0.0
843c1d1ffffffff,4.0,3.0,0.0,0.0
843c1dbffffffff,2.0,2.0,0.0,0.0
843c431ffffffff,3.0,3.0,0.0,0.0
843c533ffffffff,4.0,4.0,0.0,0.0
843c559ffffffff,1.0,1.0,0.0,0.0
843c595ffffffff,51.0,0.0,0.0,25.0
843cd8bffffffff,3.0,0.0,0.0,0.0
843cdd5ffffffff,1.0,0.0,0.0,0.0
843ce59ffffffff,6.0,6.0,0.0,0.0
