cell_id,Pyrocephalus rubinus,Pyrocephalus rubinus [mexicanus Group],Pyrocephalus rubinus saturatus,Pyrocephalus rubinus [obscurus Group],Pyrocephalus rubinus rubinus
8426d21ffffffff,4.0,0.0,0.0,0.0,0.0
8426d25ffffffff,25.0,0.0,0.0,0.0,0.0
8426d2dffffffff,1.0,0.0,0.0,0.0,0.0
8426d67ffffffff,3.0,0.0,0.0,0.0,0.0
8426d83ffffffff,7.0,0.0,0.0,0.0,0.0
8426d87ffffffff,4.0,0.0,0.0,0.0,0.0
8426d95ffffffff,5.0,0.0,0.0,0.0,0.0
8426d97ffffffff,9.0,0.0,0.0,0.0,0.0
8426d99ffffffff,4.0,0.0,0.0,0.0,0.0
8426da3ffffffff,2.0,0.0,0.0,0.0,0.0
8426db1ffffffff,27.0,0.0,0.0,0.0,0.0
8426db3ffffffff,22.0,0.0,0.0,0.0,0.0
8426db5ffffffff,4.0,0.0,0.0,0.0,0.0
8426db7ffffffff,19.0,0.0,0.0,0.0,0.0
8426db9ffffffff,18.0,0.0,0.0,0.0,0.0
8426dbbffffffff,13.0,0.0,0.0,0.0,0.0
8426dbdffffffff,23.0,0.0,0.0,0.0,0.0
8429125ffffffff,446.0,0.0,0.0,0.0,0.0
8429127ffffffff,8.0,0.0,0.0,0.0,0.0
8429809ffffffff,20.0,0.0,0.0,0.0,0.0
842980bffffffff,9.0,0.0,0.0,0.0,0.0
842980dffffffff,18.0,0.0,0.0,0.0,0.0
8429819ffffffff,2.0,0.0,0.0,0.0,0.0
842981bffffffff,5.0,0.0,0.0,0.0,0.0
842981dffffffff,2.0,0.0,0.0,0.0,0.0
8429821ffffffff,3.0,0.0,0.0,0.0,0.0
8429829ffffffff,2.0,0.0,0.0,0.0,0.0
842982bffffffff,45.0,0.0,0.0,0.0,0.0
8429841ffffffff,5.0,0.0,0.0,0.0,0.0
8429843ffffffff,30.0,0.0,0.0,0.0,0.0
8429845ffffffff,1.0,0.0,0.0,0.0,0.0
8429847ffffffff,58.0,0.0,0.0,0.0,0.0
8429849ffffffff,22.0,0.0,0.0,0.0,0.0
8429851ffffffff,3.0,0.0,0.0,0.0,0.0
8429855ffffffff,221.0,0.0,0.0,0.0,0.0
8429857ffffffff,8.0,0.0,0.0,0.0,0.0
8429859ffffffff,6.0,0.0,0.0,0.0,0.0
8429861ffffffff,42.0,0.0,0.0,0.0,0.0
8429863ffffffff,123.0,0.0,0.0,0.0,0.0
8429865ffffffff,22.0,0.0,0.0,0.0,0.0
8429867ffffffff,29.0,0.0,0.0,0.0,0.0
8429869ffffffff,455.0,0.0,0.0,0.0,0.0
842986bffffffff,59.0,0.0,0.0,0.0,0.0
842986dffffffff,1.0,0.0,0.0,0.0,0.0
84298c9ffffffff,34.0,0.0,0.0,0.0,0.0
84298cdffffffff,11.0,0.0,0.0,0.0,0.0
84298e1ffffffff,3.0,0.0,0.0,0.0,0.0
84298e9ffffffff,9.0,0.0,0.0,0.0,0.0
842990bffffffff,142.0,0.0,0.0,0.0,0.0
8429951ffffffff,32.0,0.0,0.0,0.0,0.0
8429953ffffffff,34.0,0.0,0.0,0.0,0.0
8429957ffffffff,338.0,0.0,0.0,0.0,0.0
842995bffffffff,13.0,0.0,0.0,0.0,0.0
