cell_id,Turdus abyssinicus,Turdus abyssinicus oldeani,Turdus abyssinicus [abyssinicus Group]
835280fffffffff,7.0,0.0,1.0
835282fffffffff,6.0,0.0,0.0
835283fffffffff,12.0,0.0,3.0
835285fffffffff,2.0,0.0,0.0
835286fffffffff,18.0,0.0,0.0
835291fffffffff,10.0,0.0,0.0
835298fffffffff,9.0,0.0,0.0
835299fffffffff,21.0,0.0,2.0
83529afffffffff,3.0,0.0,0.0
83529bfffffffff,416.0,0.0,66.0
83529dfffffffff,2.0,0.0,2.0
83529efffffffff,2.0,0.0,2.0
836a49fffffffff,4.0,0.0,0.0
836a4bfffffffff,3.0,0.0,0.0
836a4cfffffffff,1.0,0.0,1.0
836a4dfffffffff,4.0,0.0,0.0
836a69fffffffff,12.0,0.0,0.0
836ac0fffffffff,1.0,0.0,0.0
836ac1fffffffff,5.0,0.0,0.0
836ac3fffffffff,8.0,0.0,0.0
836ac5fffffffff,3.0,0.0,0.0
836acefffffffff,2.0,0.0,0.0
836adcfffffffff,432.0,0.0,59.0
836adefffffffff,154.0,0.0,0.0
836aeafffffffff,4.0,0.0,0.0
837a40fffffffff,35.0,0.0,0.0
837a41fffffffff,48.0,0.0,0.0
837a43fffffffff,4.0,0.0,0.0
837a45fffffffff,688.0,0.0,0.0
837a48fffffffff,28.0,0.0,0.0
837a4cfffffffff,81.0,0.0,0.0
837a53fffffffff,1.0,0.0,1.0
837a5efffffffff,1.0,0.0,0.0
837a61fffffffff,16.0,0.0,0.0
837a65fffffffff,56.0,0.0,0.0
837a68fffffffff,23.0,0.0,0.0
837a6afffffffff,179.0,0.0,0.0
837a6bfffffffff,7.0,0.0,0.0
837a6cfffffffff,7.0,0.0,0.0
837a6dfffffffff,1.0,0.0,0.0
837a6efffffffff,1182.0,0.0,0.0
837ac8fffffffff,44.0,0.0,17.0
837ac9fffffffff,4.0,0.0,0.0
837acafffffffff,16.0,0.0,2.0
837acbfffffffff,33.0,0.0,6.0
837accfffffffff,311.0,0.0,129.0
837acdfffffffff,78.0,0.0,25.0
837acefffffffff,30.0,0.0,7.0
837ad9fffffffff,10.0,0.0,2.0
837ae8fffffffff,3.0,0.0,0.0
837aebfffffffff,4.0,0.0,2.0
837aedfffffffff,3.0,0.0,1.0
839690fffffffff,7.0,0.0,0.0
839692fffffffff,67.0,0.0,0.0
839693fffffffff,174.0,0.0,0.0
8396a0fffffffff,2.0,0.0,0.0
8396a5fffffffff,2.0,0.0,0.0
8396b2fffffffff,2.0,0.0,0.0
8396b5fffffffff,1.0,0.0,0.0
8396b6fffffffff,4.0,0.0,0.0
