cell_id,Pseudotriccus pelzelni,Pseudotriccus pelzelni annectens/berlepschi,Pseudotriccus pelzelni pelzelni/peruvianus
8466139ffffffff,2.0,0.0,0.0
8466181ffffffff,7.0,0.0,0.0
8466185ffffffff,3.0,0.0,0.0
8466187ffffffff,1.0,0.0,0.0
8466189ffffffff,1.0,0.0,0.0
8466197ffffffff,1.0,0.0,0.0
84661b1ffffffff,812.0,0.0,0.0
84661b3ffffffff,6.0,0.0,0.0
84661b7ffffffff,19.0,0.0,0.0
84661b9ffffffff,303.0,0.0,0.0
84661bbffffffff,64.0,0.0,0.0
84661bdffffffff,19.0,0.0,0.0
84661ebffffffff,2.0,0.0,0.0
8466c2dffffffff,2.0,0.0,0.0
8466d03ffffffff,8.0,0.0,0.0
8466d0bffffffff,262.0,0.0,0.0
8466d1dffffffff,2.0,0.0,0.0
8466d31ffffffff,606.0,30.0,0.0
8466d35ffffffff,63.0,3.0,0.0
8466d37ffffffff,25.0,1.0,0.0
8466d3dffffffff,32.0,0.0,0.0
8466d51ffffffff,2.0,0.0,0.0
8466dadffffffff,1.0,0.0,0.0
8466de1ffffffff,182.0,0.0,9.0
8466de9ffffffff,1.0,0.0,0.0
8466dedffffffff,4.0,0.0,0.0
8466e65ffffffff,246.0,0.0,0.0
8466e6dffffffff,5.0,0.0,0.0
8466f03ffffffff,6.0,0.0,0.0
8466f1dffffffff,23.0,0.0,0.0
8466f33ffffffff,1.0,0.0,0.0
8466f3bffffffff,3.0,0.0,0.0
8466f53ffffffff,7.0,0.0,0.0
8466f59ffffffff,25.0,0.0,0.0
8466f5dffffffff,12.0,0.0,0.0
848e643ffffffff,6.0,0.0,0.0
848e649ffffffff,2.0,0.0,0.0
848f0dbffffffff,32.0,0.0,0.0
848f421ffffffff,7.0,0.0,0.0
848f425ffffffff,6.0,0.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f465ffffffff,4.0,0.0,0.0
848f487ffffffff,2.0,0.0,0.0
848f4a5ffffffff,1.0,0.0,0.0
848f4a7ffffffff,1.0,0.0,0.0
848f4e5ffffffff,7.0,0.0,0.0
848f549ffffffff,3.0,0.0,0.0
848f705ffffffff,9.0,0.0,0.0
848f721ffffffff,2.0,0.0,0.0
848f729ffffffff,2.0,0.0,0.0
848f733ffffffff,7.0,0.0,0.0
848f76bffffffff,8.0,0.0,0.0
