cell_id,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus [emigrans Group],Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Xiphocolaptes promeropirhynchus [orenocensis Group],Xiphocolaptes promeropirhynchus carajaensis
8445225ffffffff,1.0,0.0,0.0,0.0,0.0
8445251ffffffff,4.0,0.0,0.0,0.0,0.0
8445253ffffffff,25.0,3.0,0.0,0.0,0.0
8445257ffffffff,4.0,0.0,0.0,0.0,0.0
844525bffffffff,4.0,0.0,0.0,0.0,0.0
844525dffffffff,5.0,0.0,0.0,0.0,0.0
84452a9ffffffff,3.0,3.0,0.0,0.0,0.0
84452e1ffffffff,25.0,0.0,0.0,0.0,0.0
84452e3ffffffff,11.0,3.0,0.0,0.0,0.0
84452e5ffffffff,2.0,0.0,0.0,0.0,0.0
84452ebffffffff,23.0,2.0,0.0,0.0,0.0
84499c1ffffffff,2.0,0.0,0.0,0.0,0.0
84661b1ffffffff,1.0,0.0,1.0,0.0,0.0
84661bbffffffff,1.0,0.0,1.0,0.0,0.0
846622bffffffff,3.0,0.0,0.0,0.0,0.0
8466291ffffffff,1.0,0.0,0.0,0.0,0.0
8466a01ffffffff,4.0,0.0,0.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0,0.0,0.0
8466a0bffffffff,3.0,0.0,0.0,0.0,0.0
8466c5dffffffff,3.0,0.0,0.0,3.0,0.0
8466d1bffffffff,3.0,0.0,0.0,3.0,0.0
8466d31ffffffff,5.0,0.0,0.0,0.0,0.0
8466debffffffff,3.0,0.0,0.0,3.0,0.0
8466e0bffffffff,3.0,0.0,3.0,0.0,0.0
8466e51ffffffff,2.0,0.0,0.0,0.0,0.0
8466e6dffffffff,2.0,0.0,0.0,0.0,0.0
8467599ffffffff,2.0,0.0,0.0,0.0,0.0
8467961ffffffff,2.0,0.0,0.0,0.0,0.0
846d23bffffffff,2.0,0.0,0.0,0.0,0.0
846d291ffffffff,2.0,0.0,0.0,0.0,0.0
846d29bffffffff,3.0,0.0,0.0,0.0,0.0
846d2d1ffffffff,7.0,0.0,0.0,0.0,0.0
846d2d3ffffffff,6.0,3.0,0.0,0.0,0.0
846d2d7ffffffff,7.0,0.0,0.0,0.0,0.0
846d2ebffffffff,3.0,0.0,0.0,0.0,0.0
846d32bffffffff,7.0,2.0,0.0,0.0,0.0
846d337ffffffff,6.0,0.0,0.0,0.0,0.0
846d361ffffffff,2.0,0.0,0.0,0.0,0.0
846d68bffffffff,2.0,0.0,0.0,0.0,0.0
846d69bffffffff,13.0,0.0,0.0,0.0,0.0
846d69dffffffff,2.0,0.0,0.0,0.0,0.0
848b9d5ffffffff,1.0,0.0,0.0,1.0,0.0
848e651ffffffff,4.0,0.0,4.0,0.0,0.0
848f0dbffffffff,2.0,0.0,0.0,0.0,0.0
848f439ffffffff,1.0,0.0,1.0,0.0,0.0
