cell_id,Vireo plumbeus,Vireo plumbeus plumbeus/gravis,Vireo plumbeus notius/montanus
832626fffffffff,3.0,0.0,0.0
832681fffffffff,57.0,1.0,0.0
832683fffffffff,2.0,0.0,0.0
832688fffffffff,95.0,0.0,0.0
832689fffffffff,7.0,2.0,0.0
83268afffffffff,6.0,0.0,0.0
83268bfffffffff,7.0,0.0,0.0
83268cfffffffff,56.0,3.0,0.0
83268dfffffffff,46.0,0.0,0.0
83268efffffffff,9.0,0.0,0.0
832690fffffffff,19.0,0.0,0.0
832692fffffffff,11.0,0.0,0.0
832695fffffffff,4.0,0.0,0.0
832696fffffffff,138.0,2.0,0.0
832698fffffffff,12.0,0.0,0.0
832699fffffffff,18.0,0.0,0.0
83269afffffffff,4.0,0.0,0.0
83269bfffffffff,4.0,0.0,0.0
83269cfffffffff,47.0,0.0,0.0
83269dfffffffff,12.0,2.0,0.0
83269efffffffff,8.0,0.0,0.0
8326a1fffffffff,4.0,0.0,0.0
8326a8fffffffff,4.0,0.0,0.0
8326a9fffffffff,8.0,0.0,0.0
8326aafffffffff,22.0,0.0,0.0
8326abfffffffff,21.0,0.0,0.0
8326acfffffffff,4.0,0.0,0.0
8326aefffffffff,13.0,0.0,0.0
8326b0fffffffff,2.0,0.0,0.0
8326b6fffffffff,1.0,0.0,0.0
8326d4fffffffff,42.0,0.0,0.0
8326d6fffffffff,2.0,0.0,0.0
8326f2fffffffff,44.0,0.0,0.0
8326f6fffffffff,2.0,0.0,0.0
832780fffffffff,2.0,0.0,0.0
832782fffffffff,2.0,0.0,0.0
832788fffffffff,9.0,0.0,0.0
83278afffffffff,2.0,0.0,0.0
83278efffffffff,2.0,0.0,0.0
832794fffffffff,1.0,0.0,0.0
832795fffffffff,8.0,0.0,0.0
83279afffffffff,9.0,0.0,0.0
83279cfffffffff,6.0,0.0,0.0
83279dfffffffff,5.0,0.0,0.0
83279efffffffff,7.0,0.0,0.0
832814fffffffff,6.0,0.0,0.0
832816fffffffff,2.0,0.0,0.0
832830fffffffff,28.0,0.0,0.0
832832fffffffff,28.0,6.0,0.0
832834fffffffff,78.0,0.0,0.0
832835fffffffff,27.0,0.0,0.0
832836fffffffff,4.0,0.0,0.0
832884fffffffff,4.0,0.0,0.0
8328a1fffffffff,8.0,0.0,0.0
8328a3fffffffff,5.0,0.0,0.0
8328aefffffffff,56.0,1.0,0.0
8328b0fffffffff,1.0,0.0,0.0
8328b1fffffffff,4.0,0.0,0.0
8328b2fffffffff,3.0,0.0,0.0
8328b6fffffffff,6.0,0.0,0.0
832912fffffffff,30.0,2.0,0.0
832913fffffffff,2.0,0.0,0.0
832916fffffffff,4.0,0.0,0.0
83291afffffffff,4.0,0.0,0.0
832981fffffffff,12.0,0.0,0.0
832984fffffffff,9.0,0.0,0.0
832985fffffffff,4.0,0.0,0.0
832986fffffffff,5.0,0.0,0.0
832989fffffffff,6.0,0.0,0.0
83298cfffffffff,197.0,0.0,0.0
83298dfffffffff,23.0,1.0,0.0
832990fffffffff,6.0,0.0,0.0
832991fffffffff,3.0,0.0,0.0
832992fffffffff,2.0,0.0,0.0
832995fffffffff,6.0,0.0,0.0
8329a0fffffffff,204.0,0.0,0.0
8329a1fffffffff,73.0,0.0,0.0
8329a2fffffffff,5.0,0.0,0.0
8329a3fffffffff,10.0,0.0,0.0
8329a4fffffffff,327.0,0.0,0.0
8329a5fffffffff,75.0,0.0,0.0
8329a6fffffffff,66.0,0.0,0.0
8329a8fffffffff,1.0,0.0,0.0
8329acfffffffff,5.0,0.0,0.0
8329adfffffffff,7.0,0.0,0.0
8329aefffffffff,6.0,0.0,0.0
8329b0fffffffff,56.0,0.0,0.0
8329b1fffffffff,5.0,0.0,0.0
8329b2fffffffff,6.0,0.0,0.0
8329b5fffffffff,25.0,0.0,0.0
8329b6fffffffff,67.0,0.0,0.0
832af0fffffffff,7.0,0.0,0.0
83446cfffffffff,2.0,0.0,0.0
83446efffffffff,2.0,0.0,0.0
834520fffffffff,4.0,0.0,2.0
834521fffffffff,36.0,0.0,0.0
834523fffffffff,11.0,0.0,0.0
834524fffffffff,6.0,0.0,0.0
834525fffffffff,12.0,0.0,6.0
834526fffffffff,61.0,0.0,10.0
83452efffffffff,7.0,7.0,0.0
834530fffffffff,1.0,0.0,0.0
834534fffffffff,4.0,0.0,0.0
834535fffffffff,1.0,0.0,0.0
834536fffffffff,3.0,0.0,0.0
83480afffffffff,2.0,0.0,0.0
83480dfffffffff,2.0,0.0,0.0
83482bfffffffff,1.0,0.0,0.0
834833fffffffff,3.0,0.0,0.0
834842fffffffff,31.0,0.0,0.0
834843fffffffff,1.0,0.0,0.0
83484afffffffff,18.0,0.0,0.0
834859fffffffff,7.0,0.0,0.0
83485bfffffffff,40.0,0.0,0.0
83485cfffffffff,13.0,0.0,0.0
83485dfffffffff,8.0,0.0,0.0
834871fffffffff,3.0,0.0,0.0
834872fffffffff,6.0,0.0,0.0
834873fffffffff,12.0,0.0,0.0
834883fffffffff,4.0,0.0,0.0
834888fffffffff,11.0,0.0,0.0
83488afffffffff,2.0,0.0,0.0
83488bfffffffff,7.0,0.0,0.0
83488efffffffff,2.0,0.0,0.0
834895fffffffff,16.0,1.0,0.0
83489cfffffffff,8.0,0.0,0.0
8348a2fffffffff,3.0,0.0,0.0
8348a3fffffffff,1.0,0.0,0.0
8348abfffffffff,3.0,0.0,0.0
8348b1fffffffff,1.0,0.0,0.0
8348b2fffffffff,1.0,0.0,0.0
8348b3fffffffff,60.0,0.0,0.0
8348c0fffffffff,20.0,0.0,0.0
8348c1fffffffff,15.0,6.0,0.0
8348c3fffffffff,2.0,0.0,0.0
8348c5fffffffff,28.0,6.0,0.0
8348c6fffffffff,11.0,0.0,0.0
8348c8fffffffff,3.0,0.0,0.0
8348cdfffffffff,15.0,0.0,0.0
8348d1fffffffff,2.0,0.0,0.0
8348d3fffffffff,8.0,0.0,0.0
8348d4fffffffff,15.0,0.0,0.0
8348d5fffffffff,1.0,0.0,0.0
8348d8fffffffff,42.0,0.0,0.0
8348dafffffffff,7.0,0.0,0.0
8348dcfffffffff,2.0,0.0,0.0
8348e3fffffffff,23.0,0.0,0.0
8348e8fffffffff,106.0,1.0,0.0
8348eafffffffff,17.0,0.0,0.0
8348ebfffffffff,51.0,0.0,0.0
8348ecfffffffff,13.0,0.0,0.0
8348eefffffffff,78.0,1.0,0.0
8348f2fffffffff,14.0,0.0,0.0
834982fffffffff,4.0,0.0,0.0
834988fffffffff,3.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834991fffffffff,2.0,0.0,0.0
834995fffffffff,19.0,8.0,0.0
834996fffffffff,1.0,0.0,0.0
8349b3fffffffff,1.0,1.0,0.0
836d05fffffffff,30.0,0.0,30.0
836d23fffffffff,4.0,0.0,0.0
836d28fffffffff,5.0,0.0,3.0
836d29fffffffff,2.0,0.0,2.0
836d2bfffffffff,7.0,0.0,5.0
836d2dfffffffff,48.0,0.0,26.0
836d30fffffffff,2.0,0.0,0.0
836d64fffffffff,1.0,0.0,1.0
836d65fffffffff,58.0,0.0,10.0
836d66fffffffff,2.0,0.0,0.0
