cell_id,Himantopus mexicanus,Himantopus mexicanus mexicanus,Himantopus mexicanus knudseni,Himantopus mexicanus melanurus,Himantopus mexicanus mexicanus x melanurus
831251fffffffff,7.0,0.0,0.0,0.0,0.0
831252fffffffff,2.0,0.0,0.0,0.0,0.0
831253fffffffff,167.0,16.0,0.0,0.0,0.0
831258fffffffff,2.0,0.0,0.0,0.0,0.0
831259fffffffff,47.0,1.0,0.0,0.0,0.0
83125afffffffff,22.0,0.0,0.0,0.0,0.0
83125bfffffffff,20.0,0.0,0.0,0.0,0.0
83125efffffffff,4.0,0.0,0.0,0.0,0.0
8312c1fffffffff,13.0,0.0,0.0,0.0,0.0
8312c3fffffffff,22.0,0.0,0.0,0.0,0.0
8312c8fffffffff,55.0,4.0,0.0,0.0,0.0
8312c9fffffffff,258.0,1.0,0.0,0.0,0.0
8312cafffffffff,8.0,0.0,0.0,0.0,0.0
8312cbfffffffff,10.0,1.0,0.0,0.0,0.0
8312ccfffffffff,4581.0,78.0,0.0,0.0,0.0
8312cdfffffffff,484.0,7.0,0.0,0.0,0.0
8312cefffffffff,7.0,0.0,0.0,0.0,0.0
8312d1fffffffff,74.0,0.0,0.0,0.0,0.0
8312d9fffffffff,14.0,8.0,0.0,0.0,0.0
8312dafffffffff,4.0,0.0,0.0,0.0,0.0
8312dbfffffffff,195.0,0.0,0.0,0.0,0.0
8312ddfffffffff,102.0,0.0,0.0,0.0,0.0
8312defffffffff,4.0,0.0,0.0,0.0,0.0
8312e1fffffffff,17.0,0.0,0.0,0.0,0.0
8312e8fffffffff,119.0,2.0,0.0,0.0,0.0
8312e9fffffffff,5.0,0.0,0.0,0.0,0.0
8312eafffffffff,396.0,2.0,0.0,0.0,0.0
8312ebfffffffff,119.0,0.0,0.0,0.0,0.0
8312ecfffffffff,723.0,31.0,0.0,0.0,0.0
8312edfffffffff,21.0,0.0,0.0,0.0,0.0
8312eefffffffff,4.0,0.0,0.0,0.0,0.0
832606fffffffff,11.0,0.0,0.0,0.0,0.0
83260bfffffffff,197.0,2.0,0.0,0.0,0.0
832622fffffffff,2.0,0.0,0.0,0.0,0.0
832631fffffffff,3.0,0.0,0.0,0.0,0.0
832635fffffffff,9.0,0.0,0.0,0.0,0.0
832640fffffffff,156.0,18.0,0.0,0.0,0.0
832641fffffffff,41.0,6.0,0.0,0.0,0.0
832643fffffffff,302.0,25.0,0.0,0.0,0.0
832644fffffffff,1.0,0.0,0.0,0.0,0.0
832645fffffffff,1.0,0.0,0.0,0.0,0.0
832646fffffffff,384.0,10.0,0.0,0.0,0.0
832648fffffffff,7.0,0.0,0.0,0.0,0.0
83264afffffffff,22.0,0.0,0.0,0.0,0.0
83264efffffffff,283.0,0.0,0.0,0.0,0.0
832650fffffffff,2.0,0.0,0.0,0.0,0.0
832652fffffffff,10.0,0.0,0.0,0.0,0.0
832653fffffffff,5.0,5.0,0.0,0.0,0.0
832654fffffffff,2.0,2.0,0.0,0.0,0.0
832655fffffffff,36.0,3.0,0.0,0.0,0.0
832656fffffffff,3.0,0.0,0.0,0.0,0.0
832658fffffffff,14.0,2.0,0.0,0.0,0.0
832659fffffffff,1099.0,0.0,0.0,0.0,0.0
83265afffffffff,8.0,0.0,0.0,0.0,0.0
83265bfffffffff,890.0,32.0,0.0,0.0,0.0
83265dfffffffff,661.0,1.0,0.0,0.0,0.0
832660fffffffff,14.0,0.0,0.0,0.0,0.0
832661fffffffff,2.0,0.0,0.0,0.0,0.0
832662fffffffff,3.0,0.0,0.0,0.0,0.0
832664fffffffff,26.0,0.0,0.0,0.0,0.0
832665fffffffff,2.0,0.0,0.0,0.0,0.0
83266afffffffff,220.0,10.0,0.0,0.0,0.0
83266cfffffffff,6.0,0.0,0.0,0.0,0.0
83266efffffffff,1519.0,57.0,0.0,0.0,0.0
832670fffffffff,2.0,0.0,0.0,0.0,0.0
832671fffffffff,1273.0,99.0,0.0,0.0,0.0
832680fffffffff,118.0,0.0,0.0,0.0,0.0
832681fffffffff,174.0,0.0,0.0,0.0,0.0
832682fffffffff,2.0,0.0,0.0,0.0,0.0
832684fffffffff,10.0,3.0,0.0,0.0,0.0
832685fffffffff,113.0,6.0,0.0,0.0,0.0
832686fffffffff,28.0,0.0,0.0,0.0,0.0
832688fffffffff,139.0,0.0,0.0,0.0,0.0
832689fffffffff,580.0,0.0,0.0,0.0,0.0
83268afffffffff,98.0,0.0,0.0,0.0,0.0
83268bfffffffff,9.0,0.0,0.0,0.0,0.0
83268cfffffffff,176.0,0.0,0.0,0.0,0.0
83268dfffffffff,240.0,0.0,0.0,0.0,0.0
83268efffffffff,2.0,0.0,0.0,0.0,0.0
832690fffffffff,397.0,48.0,0.0,0.0,0.0
832691fffffffff,8.0,4.0,0.0,0.0,0.0
832692fffffffff,506.0,70.0,0.0,0.0,0.0
832693fffffffff,12.0,0.0,0.0,0.0,0.0
832694fffffffff,131.0,22.0,0.0,0.0,0.0
832695fffffffff,49.0,4.0,0.0,0.0,0.0
832696fffffffff,6121.0,1907.0,0.0,0.0,0.0
832698fffffffff,25.0,0.0,0.0,0.0,0.0
832699fffffffff,5.0,0.0,0.0,0.0,0.0
83269bfffffffff,2.0,2.0,0.0,0.0,0.0
83269cfffffffff,257.0,0.0,0.0,0.0,0.0
83269efffffffff,4.0,0.0,0.0,0.0,0.0
8326a1fffffffff,1.0,0.0,0.0,0.0,0.0
8326a2fffffffff,48.0,4.0,0.0,0.0,0.0
8326a3fffffffff,8.0,0.0,0.0,0.0,0.0
8326a4fffffffff,13.0,5.0,0.0,0.0,0.0
8326a5fffffffff,2.0,0.0,0.0,0.0,0.0
8326a8fffffffff,169.0,0.0,0.0,0.0,0.0
8326a9fffffffff,17.0,0.0,0.0,0.0,0.0
8326aafffffffff,2597.0,0.0,0.0,0.0,0.0
8326abfffffffff,5.0,0.0,0.0,0.0,0.0
8326acfffffffff,81.0,8.0,0.0,0.0,0.0
8326aefffffffff,43.0,0.0,0.0,0.0,0.0
8326b0fffffffff,38.0,2.0,0.0,0.0,0.0
8326b1fffffffff,10.0,0.0,0.0,0.0,0.0
8326b2fffffffff,77.0,4.0,0.0,0.0,0.0
8326b3fffffffff,13.0,0.0,0.0,0.0,0.0
8326b5fffffffff,5.0,0.0,0.0,0.0,0.0
8326b6fffffffff,13.0,0.0,0.0,0.0,0.0
8326c1fffffffff,32.0,0.0,0.0,0.0,0.0
8326c2fffffffff,12.0,0.0,0.0,0.0,0.0
8326c3fffffffff,178.0,2.0,0.0,0.0,0.0
8326c4fffffffff,74.0,4.0,0.0,0.0,0.0
8326c5fffffffff,14.0,0.0,0.0,0.0,0.0
8326c6fffffffff,3.0,0.0,0.0,0.0,0.0
8326c8fffffffff,354.0,4.0,0.0,0.0,0.0
8326cafffffffff,9.0,3.0,0.0,0.0,0.0
8326cbfffffffff,961.0,6.0,0.0,0.0,0.0
8326cefffffffff,13.0,0.0,0.0,0.0,0.0
8326d0fffffffff,44.0,1.0,0.0,0.0,0.0
8326d1fffffffff,58.0,0.0,0.0,0.0,0.0
8326d2fffffffff,6.0,0.0,0.0,0.0,0.0
8326d3fffffffff,267.0,15.0,0.0,0.0,0.0
8326d4fffffffff,53.0,2.0,0.0,0.0,0.0
8326d5fffffffff,27.0,9.0,0.0,0.0,0.0
8326d8fffffffff,60.0,6.0,0.0,0.0,0.0
8326d9fffffffff,242.0,67.0,0.0,0.0,0.0
8326dafffffffff,178.0,8.0,0.0,0.0,0.0
8326dbfffffffff,93.0,16.0,0.0,0.0,0.0
8326dcfffffffff,19.0,0.0,0.0,0.0,0.0
8326ddfffffffff,131.0,0.0,0.0,0.0,0.0
8326defffffffff,617.0,39.0,0.0,0.0,0.0
8326e0fffffffff,2.0,0.0,0.0,0.0,0.0
8326e2fffffffff,2961.0,76.0,0.0,0.0,0.0
8326e6fffffffff,2.0,0.0,0.0,0.0,0.0
8326eafffffffff,2.0,0.0,0.0,0.0,0.0
8326ecfffffffff,3.0,3.0,0.0,0.0,0.0
8326f0fffffffff,14.0,0.0,0.0,0.0,0.0
8326f1fffffffff,53.0,0.0,0.0,0.0,0.0
8326f2fffffffff,601.0,0.0,0.0,0.0,0.0
8326f3fffffffff,98.0,3.0,0.0,0.0,0.0
8326f5fffffffff,2.0,0.0,0.0,0.0,0.0
832743fffffffff,2.0,0.0,0.0,0.0,0.0
832758fffffffff,12.0,0.0,0.0,0.0,0.0
832759fffffffff,1.0,0.0,0.0,0.0,0.0
83275cfffffffff,317.0,11.0,0.0,0.0,0.0
83275dfffffffff,1086.0,40.0,0.0,0.0,0.0
832785fffffffff,16.0,2.0,0.0,0.0,0.0
832786fffffffff,575.0,17.0,0.0,0.0,0.0
832790fffffffff,13.0,0.0,0.0,0.0,0.0
832791fffffffff,18.0,0.0,0.0,0.0,0.0
832792fffffffff,175.0,0.0,0.0,0.0,0.0
832793fffffffff,27.0,4.0,0.0,0.0,0.0
832794fffffffff,36.0,0.0,0.0,0.0,0.0
832796fffffffff,520.0,13.0,0.0,0.0,0.0
832799fffffffff,5.0,0.0,0.0,0.0,0.0
83279afffffffff,7.0,0.0,0.0,0.0,0.0
83279cfffffffff,6.0,0.0,0.0,0.0,0.0
83279efffffffff,192.0,8.0,0.0,0.0,0.0
8327a0fffffffff,12.0,0.0,0.0,0.0,0.0
8327a2fffffffff,105.0,0.0,0.0,0.0,0.0
8327a3fffffffff,4.0,0.0,0.0,0.0,0.0
8327a4fffffffff,3.0,0.0,0.0,0.0,0.0
8327a6fffffffff,9.0,0.0,0.0,0.0,0.0
8327aefffffffff,13.0,0.0,0.0,0.0,0.0
