cell_id,Nisaetus nipalensis,Nisaetus nipalensis nipalensis,Nisaetus nipalensis orientalis
823157fffffffff,2.0,0.0,0.0
823c1ffffffffff,15.0,0.0,0.0
823c37fffffffff,3.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0
823c5ffffffffff,7.0,0.0,0.0
823cc7fffffffff,1.0,0.0,0.0
823cdffffffffff,4.0,0.0,0.0
823ce7fffffffff,33.0,0.0,0.0
823ceffffffffff,19.0,0.0,0.0
823d07fffffffff,1.0,0.0,0.0
823d17fffffffff,3.0,0.0,0.0
823d27fffffffff,1.0,0.0,0.0
823daffffffffff,27.0,0.0,0.0
82400ffffffffff,6.0,0.0,0.0
82408ffffffffff,2.0,0.0,0.0
8240c7fffffffff,2.0,2.0,0.0
82411ffffffffff,2.0,2.0,0.0
824b87fffffffff,1.0,0.0,0.0
824ba7fffffffff,15.0,0.0,0.0
824bb7fffffffff,4.0,0.0,0.0
826427fffffffff,3.0,0.0,0.0
826437fffffffff,6.0,0.0,0.0
826497fffffffff,3.0,0.0,0.0
8264a7fffffffff,1.0,0.0,0.0
82651ffffffffff,6.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0
826597fffffffff,7.0,0.0,0.0
