cell_id,Myiarchus tyrannulus,Myiarchus tyrannulus magister,Myiarchus tyrannulus [cooperi Group],Myiarchus tyrannulus brachyurus,Myiarchus tyrannulus tyrannulus/bahiae
8429821ffffffff,2.0,0.0,0.0,0.0,0.0
842982bffffffff,28.0,0.0,0.0,0.0,0.0
8429841ffffffff,73.0,0.0,0.0,0.0,0.0
8429845ffffffff,1.0,0.0,0.0,0.0,0.0
8429855ffffffff,9.0,0.0,0.0,0.0,0.0
8429863ffffffff,18.0,0.0,0.0,0.0,0.0
8429865ffffffff,2.0,0.0,0.0,0.0,0.0
8429867ffffffff,13.0,0.0,0.0,0.0,0.0
8429869ffffffff,26.0,0.0,0.0,0.0,0.0
842986bffffffff,53.0,0.0,0.0,0.0,0.0
842990bffffffff,9.0,0.0,0.0,0.0,0.0
842994bffffffff,2.0,0.0,0.0,0.0,0.0
8429951ffffffff,1.0,0.0,0.0,0.0,0.0
8429953ffffffff,241.0,0.0,0.0,0.0,0.0
8429957ffffffff,9.0,0.0,0.0,0.0,0.0
842995bffffffff,18.0,0.0,0.0,0.0,0.0
8429a05ffffffff,874.0,0.0,0.0,0.0,0.0
8429a07ffffffff,4.0,0.0,0.0,0.0,0.0
8429a23ffffffff,2.0,0.0,0.0,0.0,0.0
8429a3dffffffff,1.0,0.0,0.0,0.0,0.0
8429aa5ffffffff,1.0,0.0,0.0,0.0,0.0
8429b01ffffffff,20.0,0.0,0.0,0.0,0.0
8429b05ffffffff,12.0,12.0,0.0,0.0,0.0
8429b09ffffffff,250.0,0.0,0.0,0.0,0.0
8429b0bffffffff,60.0,0.0,0.0,0.0,0.0
8429b0dffffffff,30.0,0.0,0.0,0.0,0.0
8429b15ffffffff,7.0,0.0,0.0,0.0,0.0
8429b1dffffffff,66.0,0.0,0.0,0.0,0.0
8429b29ffffffff,119.0,0.0,0.0,0.0,0.0
8429b2bffffffff,9.0,7.0,0.0,0.0,0.0
8429b2dffffffff,683.0,23.0,0.0,0.0,0.0
8429b41ffffffff,4.0,0.0,0.0,0.0,0.0
8429b55ffffffff,36.0,0.0,0.0,0.0,0.0
8429b5dffffffff,79.0,0.0,0.0,0.0,0.0
8429b61ffffffff,86.0,11.0,0.0,0.0,0.0
8429b63ffffffff,23.0,2.0,0.0,0.0,0.0
8429b65ffffffff,104.0,28.0,0.0,0.0,0.0
8429b67ffffffff,50.0,12.0,0.0,0.0,0.0
8429b69ffffffff,10.0,0.0,0.0,0.0,0.0
8429b6bffffffff,375.0,33.0,0.0,0.0,0.0
