cell_id,Prionops caniceps,Prionops caniceps caniceps,Prionops caniceps harterti
825887fffffffff,1.0,0.0,0.0
825897fffffffff,5.0,0.0,0.0
8258b7fffffffff,1.0,0.0,0.0
8258d7fffffffff,1.0,0.0,0.0
82599ffffffffff,1.0,0.0,0.0
827507fffffffff,7.0,0.0,0.0
82750ffffffffff,223.0,17.0,0.0
827517fffffffff,1.0,0.0,0.0
82751ffffffffff,5.0,0.0,0.0
827527fffffffff,2.0,0.0,0.0
82752ffffffffff,277.0,26.0,0.0
827577fffffffff,1.0,0.0,0.0
827587fffffffff,1.0,0.0,0.0
8275a7fffffffff,3.0,0.0,0.0
8275affffffffff,5.0,0.0,0.0
8275b7fffffffff,8.0,0.0,0.0
82821ffffffffff,1.0,0.0,0.0
828287fffffffff,1.0,0.0,0.0
82828ffffffffff,1.0,0.0,0.0
828297fffffffff,1.0,0.0,0.0
