cell_id,Eupsittula nana,Eupsittula nana astec/vicinalis,Eupsittula nana nana
834424fffffffff,130.0,0.0,0.0
834501fffffffff,708.0,46.0,0.0
834505fffffffff,1430.0,183.0,0.0
834508fffffffff,729.0,126.0,0.0
834509fffffffff,1648.0,466.0,0.0
83450afffffffff,2621.0,611.0,0.0
83450bfffffffff,1342.0,295.0,0.0
83450cfffffffff,452.0,87.0,0.0
83450dfffffffff,282.0,136.0,0.0
83450efffffffff,1360.0,274.0,0.0
834519fffffffff,12.0,3.0,0.0
834520fffffffff,1524.0,37.0,0.0
834521fffffffff,4039.0,225.0,0.0
834522fffffffff,1669.0,0.0,0.0
834523fffffffff,1517.0,90.0,0.0
834524fffffffff,158.0,0.0,0.0
834525fffffffff,266.0,30.0,0.0
834526fffffffff,1202.0,0.0,0.0
834528fffffffff,1176.0,113.0,0.0
834529fffffffff,147.0,12.0,0.0
83452afffffffff,5368.0,756.0,0.0
83452bfffffffff,653.0,169.0,0.0
83452cfffffffff,2653.0,390.0,0.0
83452dfffffffff,432.0,103.0,0.0
83452efffffffff,10955.0,697.0,0.0
834530fffffffff,78.0,0.0,0.0
834531fffffffff,93.0,0.0,0.0
834532fffffffff,166.0,0.0,0.0
834534fffffffff,46.0,0.0,0.0
834535fffffffff,253.0,0.0,0.0
834536fffffffff,195.0,0.0,0.0
834564fffffffff,27.0,2.0,0.0
83456dfffffffff,19.0,0.0,0.0
834572fffffffff,1122.0,337.0,0.0
834574fffffffff,51.0,0.0,0.0
834576fffffffff,273.0,27.0,0.0
8345b0fffffffff,22.0,0.0,2.0
8345b2fffffffff,1163.0,0.0,131.0
834990fffffffff,33.0,5.0,0.0
834992fffffffff,26.0,4.0,0.0
834993fffffffff,12.0,2.0,0.0
834994fffffffff,5.0,0.0,0.0
834996fffffffff,1914.0,255.0,0.0
834998fffffffff,13.0,5.0,0.0
83499bfffffffff,3.0,1.0,0.0
83499cfffffffff,8.0,0.0,0.0
83499efffffffff,56.0,0.0,0.0
834cd2fffffffff,9.0,0.0,0.0
834cd4fffffffff,6.0,0.0,0.0
834cd6fffffffff,1.0,0.0,0.0
834cf2fffffffff,2.0,0.0,0.0
8366a6fffffffff,85.0,10.0,0.0
8366b4fffffffff,66.0,0.0,0.0
8366b5fffffffff,196.0,17.0,0.0
836725fffffffff,263.0,0.0,24.0
836730fffffffff,248.0,0.0,73.0
836732fffffffff,266.0,0.0,86.0
836736fffffffff,552.0,0.0,163.0
836790fffffffff,55.0,0.0,0.0
836791fffffffff,10.0,0.0,0.0
836792fffffffff,28.0,0.0,0.0
836793fffffffff,46.0,0.0,0.0
836794fffffffff,60.0,0.0,0.0
836796fffffffff,148.0,0.0,0.0
83679afffffffff,3291.0,0.0,0.0
83679bfffffffff,1216.0,22.0,0.0
8367b2fffffffff,16.0,0.0,0.0
8367b3fffffffff,2.0,0.0,0.0
836d20fffffffff,353.0,2.0,0.0
836d21fffffffff,371.0,98.0,0.0
836d22fffffffff,53.0,13.0,0.0
836d23fffffffff,23.0,6.0,0.0
836d24fffffffff,75.0,2.0,0.0
836d25fffffffff,692.0,54.0,0.0
836d26fffffffff,29.0,2.0,0.0
836d2cfffffffff,693.0,192.0,0.0
836d2dfffffffff,534.0,168.0,0.0
836d30fffffffff,532.0,129.0,0.0
836d31fffffffff,358.0,98.0,0.0
836d34fffffffff,262.0,18.0,0.0
836d35fffffffff,194.0,22.0,0.0
836d36fffffffff,8.0,0.0,0.0
836d64fffffffff,223.0,0.0,0.0
836d65fffffffff,39.0,0.0,0.0
836d68fffffffff,770.0,0.0,0.0
836d69fffffffff,2098.0,0.0,0.0
836d6cfffffffff,24.0,0.0,0.0
836d6dfffffffff,3560.0,0.0,0.0
