cell_id,Alectura lathami,Alectura lathami purpureicollis,Alectura lathami lathami
849c001ffffffff,2.0,0.0,0.0
849c003ffffffff,5.0,0.0,0.0
849c009ffffffff,77.0,0.0,0.0
849c00bffffffff,12.0,0.0,0.0
849c017ffffffff,19.0,0.0,0.0
849c01dffffffff,5.0,0.0,0.0
849c03bffffffff,2.0,0.0,0.0
849c055ffffffff,9.0,0.0,0.0
849c059ffffffff,1.0,0.0,0.0
849c05dffffffff,262.0,0.0,0.0
849c0a1ffffffff,1.0,0.0,0.0
849c0a5ffffffff,4.0,0.0,0.0
849c0a7ffffffff,2.0,0.0,0.0
849c0e1ffffffff,1.0,0.0,0.0
849c0e5ffffffff,1.0,0.0,0.0
849c0e9ffffffff,17.0,0.0,0.0
849c0edffffffff,14.0,0.0,0.0
849c191ffffffff,813.0,0.0,0.0
849c193ffffffff,8.0,0.0,0.0
849c199ffffffff,2.0,0.0,0.0
849c19bffffffff,9.0,0.0,0.0
849c19dffffffff,153.0,0.0,0.0
849c203ffffffff,22.0,0.0,0.0
849c20bffffffff,6.0,0.0,0.0
849c211ffffffff,2.0,0.0,0.0
849c215ffffffff,636.0,0.0,0.0
849c231ffffffff,1454.0,0.0,0.0
849c233ffffffff,54.0,0.0,0.0
849c237ffffffff,1572.0,0.0,0.0
849c239ffffffff,1677.0,0.0,0.0
849c23bffffffff,240.0,0.0,0.0
849c23dffffffff,4.0,0.0,0.0
849c251ffffffff,11.0,0.0,0.0
849c257ffffffff,5.0,0.0,0.0
849c259ffffffff,176.0,0.0,0.0
849c25dffffffff,2.0,0.0,0.0
849c2cbffffffff,2.0,0.0,0.0
849c2cdffffffff,5.0,0.0,0.0
849c2ddffffffff,1.0,0.0,0.0
849c2e1ffffffff,3.0,0.0,0.0
849c743ffffffff,7.0,0.0,0.0
849c747ffffffff,2.0,0.0,0.0
849ce0dffffffff,3.0,0.0,0.0
849ce2dffffffff,5.0,0.0,0.0
849ce47ffffffff,8.0,0.0,0.0
849ce63ffffffff,2.0,0.0,0.0
849ce67ffffffff,4.0,0.0,0.0
849ce69ffffffff,2.0,0.0,0.0
849cf53ffffffff,77.0,0.0,0.0
849d013ffffffff,57.0,0.0,0.0
849d01bffffffff,56.0,0.0,0.0
849d083ffffffff,1.0,0.0,0.0
849d0abffffffff,10.0,0.0,0.0
849d0b1ffffffff,74.0,0.0,0.0
849d0b3ffffffff,9.0,0.0,0.0
849d0b5ffffffff,95.0,0.0,0.0
849d0b7ffffffff,22.0,0.0,0.0
849d0bbffffffff,2.0,0.0,0.0
