cell_id,Gymnobucco calvus,Gymnobucco calvus calvus/congicus,Gymnobucco calvus vernayi
8354e9fffffffff,1.0,0.0,0.0
835891fffffffff,1.0,0.0,0.0
835894fffffffff,1.0,0.0,0.0
835896fffffffff,1.0,0.0,0.0
8358c3fffffffff,3.0,0.0,0.0
8358d0fffffffff,2.0,0.0,0.0
8358d1fffffffff,1.0,0.0,0.0
8358d2fffffffff,7.0,0.0,0.0
8358d3fffffffff,23.0,0.0,0.0
8358dbfffffffff,1.0,0.0,0.0
837508fffffffff,4.0,1.0,0.0
83750cfffffffff,5.0,0.0,0.0
83750dfffffffff,367.0,29.0,0.0
837519fffffffff,7.0,0.0,0.0
83751dfffffffff,2.0,0.0,0.0
837529fffffffff,176.0,7.0,0.0
83752afffffffff,40.0,0.0,0.0
83752bfffffffff,77.0,6.0,0.0
83752dfffffffff,3.0,0.0,0.0
83752efffffffff,4.0,0.0,0.0
837584fffffffff,2.0,0.0,0.0
83758cfffffffff,1.0,0.0,0.0
8375a0fffffffff,12.0,0.0,0.0
8375a1fffffffff,1.0,0.0,0.0
8375a2fffffffff,1.0,0.0,0.0
8375a3fffffffff,3.0,0.0,0.0
8375a8fffffffff,7.0,0.0,0.0
8375aefffffffff,1.0,0.0,0.0
8375b0fffffffff,11.0,0.0,0.0
8375b3fffffffff,1.0,0.0,0.0
838212fffffffff,3.0,0.0,0.0
838218fffffffff,1.0,0.0,0.0
838236fffffffff,1.0,0.0,0.0
83828bfffffffff,1.0,0.0,0.0
83828dfffffffff,23.0,0.0,0.0
8382a0fffffffff,9.0,0.0,0.0
8382a5fffffffff,4.0,0.0,0.0
8382a8fffffffff,10.0,0.0,0.0
8382d2fffffffff,28.0,0.0,0.0
8382d3fffffffff,44.0,0.0,0.0
8382dbfffffffff,2.0,0.0,0.0
838313fffffffff,10.0,0.0,0.0
838315fffffffff,11.0,0.0,0.0
838333fffffffff,1.0,0.0,0.0
83839efffffffff,1.0,0.0,0.0
8383a8fffffffff,4.0,0.0,0.0
8383acfffffffff,16.0,0.0,0.0
8383adfffffffff,1.0,0.0,0.0
