cell_id,Neochmia phaeton,Neochmia phaeton evangelinae,Neochmia phaeton phaeton
82728ffffffffff,2.0,0.0,0.0
8272f7fffffffff,117.0,0.0,0.0
82941ffffffffff,13.0,0.0,0.0
829457fffffffff,2073.0,0.0,44.0
82945ffffffffff,555.0,0.0,7.0
82948ffffffffff,5.0,0.0,3.0
8294affffffffff,3.0,0.0,0.0
8294c7fffffffff,37.0,0.0,0.0
8294cffffffffff,7.0,0.0,0.0
8294d7fffffffff,2.0,0.0,0.0
8294e7fffffffff,391.0,0.0,0.0
8294effffffffff,564.0,0.0,3.0
8294f7fffffffff,246.0,0.0,2.0
829c07fffffffff,35.0,8.0,0.0
829c0ffffffffff,1.0,0.0,0.0
829c27fffffffff,848.0,0.0,4.0
829c47fffffffff,57.0,0.0,0.0
829c4ffffffffff,12.0,0.0,0.0
829c5ffffffffff,13.0,0.0,0.0
829c67fffffffff,129.0,0.0,0.0
829c77fffffffff,3.0,0.0,0.0
829cc7fffffffff,8.0,0.0,0.0
829cd7fffffffff,41.0,1.0,0.0
829ceffffffffff,62.0,0.0,0.0
829d0ffffffffff,249.0,0.0,0.0
829d2ffffffffff,2.0,0.0,0.0
