cell_id,Ramphocelus passerinii,Ramphocelus passerinii passerinii,Ramphocelus passerinii costaricensis
844505bffffffff,15.0,6.0,0.0
8445203ffffffff,39.0,26.0,0.0
8445205ffffffff,2.0,0.0,0.0
8445207ffffffff,37.0,0.0,0.0
844520bffffffff,3.0,3.0,0.0
844520dffffffff,11.0,10.0,0.0
8445211ffffffff,13.0,6.0,0.0
8445213ffffffff,67.0,6.0,0.0
8445215ffffffff,143.0,58.0,0.0
8445217ffffffff,311.0,82.0,0.0
8445219ffffffff,1.0,1.0,0.0
844521bffffffff,4.0,0.0,0.0
844521dffffffff,39.0,12.0,0.0
8445221ffffffff,432.0,254.0,0.0
8445225ffffffff,279.0,170.0,0.0
844522bffffffff,1.0,1.0,0.0
844522dffffffff,11.0,0.0,0.0
8445231ffffffff,2.0,0.0,0.0
8445233ffffffff,945.0,627.0,0.0
844523bffffffff,117.0,57.0,0.0
8445253ffffffff,4.0,4.0,0.0
8445257ffffffff,28.0,11.0,0.0
8445263ffffffff,337.0,204.0,0.0
844526bffffffff,183.0,68.0,0.0
84452c3ffffffff,4.0,0.0,0.0
84452c7ffffffff,25.0,25.0,0.0
84452c9ffffffff,14.0,11.0,0.0
84452cdffffffff,2.0,0.0,0.0
84452d9ffffffff,7.0,1.0,0.0
84452e1ffffffff,84.0,34.0,0.0
84452e5ffffffff,640.0,307.0,0.0
84452e7ffffffff,5.0,3.0,0.0
84452ebffffffff,1.0,1.0,0.0
84452edffffffff,22.0,10.0,0.0
8445301ffffffff,3.0,0.0,0.0
8445305ffffffff,11.0,3.0,0.0
8445307ffffffff,2.0,0.0,0.0
8445309ffffffff,3.0,0.0,0.0
844530dffffffff,17.0,13.0,0.0
8445319ffffffff,14.0,10.0,0.0
8445321ffffffff,41.0,7.0,0.0
844532bffffffff,157.0,18.0,0.0
844532dffffffff,4.0,4.0,0.0
8445341ffffffff,5.0,5.0,0.0
8445343ffffffff,3.0,2.0,0.0
8445345ffffffff,7.0,7.0,0.0
8445349ffffffff,7.0,7.0,0.0
844534dffffffff,25.0,25.0,0.0
8445357ffffffff,3.0,0.0,0.0
8445363ffffffff,70.0,62.0,0.0
8445365ffffffff,146.0,130.0,0.0
8445367ffffffff,40.0,15.0,0.0
844536bffffffff,6.0,0.0,0.0
8466a21ffffffff,8.0,0.0,4.0
8466a25ffffffff,17.0,0.0,12.0
8466a2dffffffff,17.0,0.0,11.0
8466a65ffffffff,651.0,462.0,0.0
8466a67ffffffff,4.0,2.0,0.0
8466b01ffffffff,362.0,0.0,111.0
8466b09ffffffff,1708.0,0.0,463.0
8466b0bffffffff,1882.0,0.0,603.0
8466b19ffffffff,30.0,0.0,7.0
8466b1dffffffff,50.0,0.0,29.0
8466b41ffffffff,3062.0,0.0,7.0
8466b43ffffffff,843.0,0.0,130.0
8466b45ffffffff,1276.0,2.0,142.0
8466b47ffffffff,1671.0,0.0,235.0
8466b49ffffffff,4294.0,1960.0,0.0
8466b4bffffffff,81.0,36.0,0.0
8466b4dffffffff,5322.0,1693.0,19.0
8466b51ffffffff,1452.0,0.0,601.0
8466b53ffffffff,945.0,0.0,342.0
8466b55ffffffff,5824.0,0.0,2068.0
8466b57ffffffff,1169.0,0.0,340.0
8466b59ffffffff,641.0,275.0,0.0
8466b5bffffffff,1372.0,658.0,70.0
