cell_id,Dicrurus densus,Dicrurus densus vicinus,Dicrurus densus bimaensis,Dicrurus densus sumbae,Dicrurus densus densus,Dicrurus densus kuehni,Dicrurus densus megalornis
839460fffffffff,5.0,0.0,0.0,0.0,0.0,5.0,0.0
839553fffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
