cell_id,Pycnonotus goiavier,Pycnonotus goiavier [analis Group],Pycnonotus goiavier [goiavier Group]
826507fffffffff,549.0,0.0,0.0
82650ffffffffff,8.0,0.0,0.0
82651ffffffffff,818.0,0.0,0.0
826527fffffffff,181.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0
82659ffffffffff,4.0,0.0,0.0
8265b7fffffffff,3.0,0.0,0.0
82681ffffffffff,2.0,0.0,0.0
82682ffffffffff,5.0,0.0,0.0
82684ffffffffff,2.0,0.0,0.0
82685ffffffffff,4.0,0.0,0.0
8268cffffffffff,1.0,0.0,0.0
826947fffffffff,4.0,0.0,0.0
82695ffffffffff,1.0,0.0,0.0
8272affffffffff,7.0,0.0,0.0
827397fffffffff,3.0,0.0,0.0
82739ffffffffff,2.0,0.0,0.0
8273b7fffffffff,2.0,0.0,0.0
828db7fffffffff,3.0,0.0,0.0
8295a7fffffffff,1.0,0.0,0.0
