cell_id,Coereba flaveola,Coereba flaveola bahamensis,Coereba flaveola caboti,Coereba flaveola [flaveola Group],Coereba flaveola [portoricensis Group],Coereba flaveola [bartholemica Group],Coereba flaveola atrata,Coereba flaveola aterrima,Coereba flaveola lowii,Coereba flaveola laurae/melanornis,Coereba flaveola [luteola Group]
824427fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824487fffffffff,902.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8244a7fffffffff,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8244b7fffffffff,1762.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824507fffffffff,816.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82450ffffffffff,2892.0,0.0,1562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82451ffffffffff,46.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824527fffffffff,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
82452ffffffffff,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
824537fffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824587fffffffff,468.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8245a7fffffffff,2114.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8245b7fffffffff,1868.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0
824c87fffffffff,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824c8ffffffffff,469.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824c97fffffffff,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824c9ffffffffff,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824caffffffffff,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824cb7fffffffff,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824cc7fffffffff,19439.0,0.0,0.0,200.0,3670.0,0.0,0.0,0.0,0.0,0.0,0.0
824cd7fffffffff,2463.0,0.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824ceffffffffff,17889.0,0.0,0.0,0.0,3406.0,0.0,0.0,0.0,0.0,0.0,0.0
824cf7fffffffff,745.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824d4ffffffffff,1924.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
825e47fffffffff,2019.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0
825e4ffffffffff,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825e5ffffffffff,2832.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.0
825e67fffffffff,2961.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,0.0,0.0,0.0
