cell_id,Agelaius phoeniceus,Agelaius phoeniceus [phoeniceus Group],Agelaius phoeniceus californicus/mailliardorum,Agelaius phoeniceus gubernator
830c15fffffffff,4.0,0.0,0.0,0.0
830c41fffffffff,33.0,0.0,0.0,0.0
830c42fffffffff,45.0,2.0,0.0,0.0
830c45fffffffff,1.0,0.0,0.0,0.0
830c46fffffffff,1.0,0.0,0.0,0.0
830c50fffffffff,2.0,0.0,0.0,0.0
830c51fffffffff,5.0,0.0,0.0,0.0
830c63fffffffff,6.0,0.0,0.0,0.0
830c64fffffffff,6.0,0.0,0.0,0.0
830c65fffffffff,5.0,0.0,0.0,0.0
830c71fffffffff,2.0,0.0,0.0,0.0
830c73fffffffff,6.0,0.0,0.0,0.0
830d03fffffffff,3.0,0.0,0.0,0.0
830d0cfffffffff,2.0,0.0,0.0,0.0
830d5efffffffff,8.0,0.0,0.0,0.0
830e45fffffffff,10.0,0.0,0.0,0.0
830e4dfffffffff,10.0,0.0,0.0,0.0
830e5bfffffffff,2.0,0.0,0.0,0.0
830e6afffffffff,2.0,0.0,0.0,0.0
830ec1fffffffff,16.0,0.0,0.0,0.0
830ec4fffffffff,1.0,0.0,0.0,0.0
830ec5fffffffff,4.0,0.0,0.0,0.0
830eccfffffffff,12.0,0.0,0.0,0.0
830ee2fffffffff,2.0,1.0,0.0,0.0
830eeafffffffff,70.0,0.0,0.0,0.0
830eebfffffffff,6.0,0.0,0.0,0.0
830ef0fffffffff,2.0,0.0,0.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0
83124afffffffff,2.0,0.0,0.0,0.0
831251fffffffff,5.0,5.0,0.0,0.0
831253fffffffff,5.0,5.0,0.0,0.0
831258fffffffff,2.0,0.0,0.0,0.0
831259fffffffff,5.0,3.0,0.0,0.0
83125dfffffffff,10.0,0.0,0.0,0.0
8312b0fffffffff,9.0,0.0,0.0,0.0
8312b4fffffffff,3.0,0.0,0.0,0.0
8312b6fffffffff,7.0,0.0,0.0,0.0
8312c1fffffffff,11.0,0.0,0.0,0.0
8312c2fffffffff,1.0,0.0,0.0,0.0
8312c8fffffffff,10.0,0.0,0.0,0.0
8312c9fffffffff,6.0,0.0,0.0,0.0
8312cbfffffffff,3.0,0.0,0.0,0.0
8312ccfffffffff,28.0,1.0,0.0,0.0
8312cdfffffffff,4.0,0.0,0.0,0.0
8312d8fffffffff,2.0,0.0,0.0,0.0
8312d9fffffffff,6.0,6.0,0.0,0.0
8312ddfffffffff,13.0,0.0,0.0,0.0
8312e1fffffffff,3.0,0.0,0.0,0.0
8312eafffffffff,5.0,2.0,0.0,0.0
8312ecfffffffff,1.0,0.0,0.0,0.0
