cell_id,Aerospiza tachiro,Aerospiza tachiro macroscelides,Aerospiza tachiro toussenelii/canescens,Aerospiza tachiro lopezi,Aerospiza tachiro unduliventer/croizati,Aerospiza tachiro sparsimfasciata,Aerospiza tachiro pembaensis,Aerospiza tachiro tachiro
83529bfffffffff,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
837a41fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837a48fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837a4cfffffffff,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
837a60fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837a61fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837a63fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837a65fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837a6afffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
837a6efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837b4afffffffff,19.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
837b4cfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837b4efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8382f2fffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
839710fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
839713fffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
83971cfffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
83ad36fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc1bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bcd2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bcf2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bcf4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bcf6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
