cell_id,Icterus cayanensis,Icterus cayanensis chrysocephalus,Icterus cayanensis cayanensis
825f07fffffffff,51.0,20.0,4.0
825f0ffffffffff,24.0,5.0,0.0
825f17fffffffff,51.0,0.0,6.0
825f1ffffffffff,14.0,0.0,1.0
825f27fffffffff,11.0,0.0,11.0
825f2ffffffffff,388.0,163.0,0.0
825f47fffffffff,6.0,4.0,0.0
825f4ffffffffff,10.0,0.0,0.0
825f57fffffffff,6.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0
825f6ffffffffff,15.0,5.0,0.0
825f77fffffffff,55.0,9.0,0.0
826647fffffffff,275.0,109.0,0.0
82664ffffffffff,13.0,5.0,0.0
826657fffffffff,41.0,15.0,0.0
82665ffffffffff,636.0,199.0,0.0
826667fffffffff,17.0,6.0,0.0
82666ffffffffff,19.0,8.0,0.0
826677fffffffff,3.0,0.0,0.0
8266c7fffffffff,251.0,14.0,0.0
8266cffffffffff,45.0,8.0,0.0
8266d7fffffffff,15.0,2.0,0.0
8266dffffffffff,346.0,193.0,0.0
8266e7fffffffff,346.0,68.0,0.0
8266effffffffff,253.0,23.0,0.0
828047fffffffff,9.0,0.0,0.0
82804ffffffffff,9.0,0.0,0.0
82806ffffffffff,1.0,0.0,0.0
828077fffffffff,1.0,0.0,0.0
828147fffffffff,29.0,0.0,8.0
82814ffffffffff,88.0,0.0,0.0
828157fffffffff,5.0,0.0,0.0
82815ffffffffff,4.0,0.0,0.0
828167fffffffff,21.0,0.0,0.0
828177fffffffff,68.0,0.0,40.0
828a07fffffffff,54.0,0.0,8.0
828a17fffffffff,25.0,0.0,2.0
828a1ffffffffff,14.0,0.0,4.0
828a2ffffffffff,1.0,0.0,0.0
828a47fffffffff,73.0,9.0,2.0
828a4ffffffffff,2.0,0.0,0.0
828a57fffffffff,2.0,2.0,0.0
828a6ffffffffff,93.0,43.0,0.0
828a87fffffffff,7.0,0.0,0.0
828a9ffffffffff,7.0,0.0,0.0
828aaffffffffff,8.0,0.0,0.0
828ad7fffffffff,2.0,0.0,0.0
828adffffffffff,63.0,49.0,0.0
828aeffffffffff,2.0,0.0,0.0
828af7fffffffff,99.0,72.0,6.0
828b0ffffffffff,6.0,0.0,0.0
828b27fffffffff,22.0,0.0,0.0
828b2ffffffffff,19.0,0.0,1.0
828b47fffffffff,426.0,0.0,45.0
828b4ffffffffff,7.0,0.0,0.0
828b57fffffffff,2.0,0.0,0.0
828b67fffffffff,183.0,0.0,25.0
828b6ffffffffff,12.0,0.0,2.0
828b77fffffffff,52.0,0.0,3.0
828b87fffffffff,83.0,0.0,7.0
828b8ffffffffff,7.0,0.0,1.0
828b9ffffffffff,395.0,0.0,50.0
828ba7fffffffff,51.0,0.0,4.0
828bb7fffffffff,31.0,0.0,0.0
828e67fffffffff,8.0,0.0,0.0
828f47fffffffff,196.0,123.0,0.0
828f4ffffffffff,31.0,2.0,0.0
828f5ffffffffff,12.0,0.0,0.0
828f67fffffffff,20.0,11.0,1.0
828f6ffffffffff,3.0,0.0,0.0
828f77fffffffff,65.0,33.0,0.0
82a84ffffffffff,1.0,0.0,0.0
82a85ffffffffff,317.0,0.0,33.0
82a8cffffffffff,3.0,0.0,1.0
82b327fffffffff,2.0,0.0,1.0
82b367fffffffff,7.0,0.0,0.0
