cell_id,Zosterops virens,Zosterops virens capensis,Zosterops virens virens
8497289ffffffff,7.0,0.0,1.0
849728dffffffff,8.0,0.0,6.0
8497295ffffffff,1.0,0.0,0.0
849729bffffffff,1.0,0.0,0.0
84972c9ffffffff,1.0,0.0,0.0
84972cbffffffff,2.0,0.0,0.0
84972cdffffffff,1.0,0.0,0.0
84972d5ffffffff,22.0,0.0,10.0
84972d7ffffffff,19.0,0.0,0.0
84972d9ffffffff,268.0,0.0,63.0
84972dbffffffff,6.0,0.0,0.0
84972e3ffffffff,6.0,0.0,1.0
84972ebffffffff,1.0,0.0,0.0
84ad127ffffffff,2.0,0.0,0.0
84ad12dffffffff,1.0,0.0,0.0
84ad321ffffffff,39.0,4.0,0.0
84ad325ffffffff,12.0,4.0,0.0
84ad329ffffffff,216.0,68.0,0.0
84ad32dffffffff,4.0,0.0,0.0
84ad361ffffffff,1193.0,344.0,0.0
84ad365ffffffff,158.0,56.0,0.0
84ad367ffffffff,61.0,18.0,0.0
84ad369ffffffff,1020.0,397.0,0.0
84ad36bffffffff,30.0,6.0,0.0
84ad36dffffffff,195.0,49.0,0.0
84ad869ffffffff,2.0,0.0,0.0
84ada1bffffffff,5.0,0.0,0.0
84ada21ffffffff,9.0,0.0,0.0
84ada4dffffffff,3.0,0.0,0.0
84adb07ffffffff,4.0,0.0,0.0
84bc091ffffffff,17.0,0.0,0.0
84bc093ffffffff,3.0,0.0,0.0
84bc095ffffffff,14.0,10.0,0.0
84bc099ffffffff,1.0,1.0,0.0
84bc0b1ffffffff,2.0,2.0,0.0
84bc0bdffffffff,37.0,0.0,0.0
84bc193ffffffff,6.0,0.0,0.0
84bc197ffffffff,30.0,0.0,0.0
84bc19bffffffff,25.0,6.0,0.0
84bc1b3ffffffff,23.0,0.0,2.0
84bc1b7ffffffff,128.0,0.0,8.0
84bc1bbffffffff,12.0,0.0,2.0
84bc401ffffffff,2.0,0.0,0.0
84bc403ffffffff,8.0,0.0,0.0
84bc409ffffffff,21.0,10.0,0.0
84bc40dffffffff,41.0,0.0,0.0
84bc411ffffffff,39.0,21.0,0.0
84bc415ffffffff,1.0,0.0,0.0
84bc419ffffffff,1.0,0.0,0.0
84bc41bffffffff,1.0,0.0,0.0
84bc41dffffffff,13.0,8.0,0.0
84bc431ffffffff,58.0,16.0,0.0
84bc435ffffffff,4.0,0.0,0.0
84bc443ffffffff,55.0,6.0,0.0
84bc447ffffffff,90.0,29.0,0.0
84bc453ffffffff,8.0,0.0,0.0
84bc455ffffffff,315.0,84.0,0.0
84bc457ffffffff,32.0,5.0,0.0
84bc45bffffffff,3.0,0.0,0.0
84bc469ffffffff,2.0,0.0,0.0
84bc46dffffffff,12.0,0.0,0.0
84bc481ffffffff,9.0,0.0,0.0
84bc48bffffffff,4.0,0.0,0.0
84bc491ffffffff,68.0,37.0,0.0
84bc497ffffffff,7.0,2.0,0.0
84bc49bffffffff,7.0,0.0,0.0
84bc49dffffffff,10.0,2.0,0.0
84bc4bbffffffff,5.0,0.0,0.0
84bc4bdffffffff,1.0,0.0,0.0
84bc4c1ffffffff,2.0,0.0,0.0
84bc4c9ffffffff,2.0,2.0,0.0
84bc4d3ffffffff,6.0,0.0,0.0
84bc4d5ffffffff,9.0,2.0,0.0
84bc4d7ffffffff,1.0,0.0,0.0
84bc4d9ffffffff,128.0,41.0,0.0
84bc4dbffffffff,4.0,1.0,0.0
84bc4ddffffffff,36.0,19.0,0.0
84bc4e9ffffffff,4.0,4.0,0.0
84bc501ffffffff,2.0,0.0,0.0
84bc50bffffffff,21.0,3.0,0.0
84bc519ffffffff,4.0,0.0,0.0
84bc539ffffffff,1.0,0.0,0.0
84bc543ffffffff,3.0,0.0,0.0
84bc545ffffffff,9.0,0.0,0.0
84bc549ffffffff,6.0,4.0,0.0
84bc559ffffffff,6.0,0.0,0.0
84bc5c9ffffffff,2.0,2.0,0.0
84bc5cbffffffff,7.0,2.0,0.0
84bc5edffffffff,10.0,0.0,0.0
84bc683ffffffff,27.0,9.0,0.0
84bc687ffffffff,125.0,37.0,0.0
84bc695ffffffff,77.0,42.0,0.0
84bc697ffffffff,558.0,177.0,0.0
84bc6a1ffffffff,5.0,5.0,0.0
84bc6a3ffffffff,262.0,70.0,0.0
84bc6a5ffffffff,3.0,0.0,0.0
84bc6a7ffffffff,7.0,1.0,0.0
84bc6abffffffff,88.0,24.0,0.0
84bc6adffffffff,5.0,2.0,0.0
84bc6b1ffffffff,28.0,0.0,0.0
84bc6b3ffffffff,55.0,3.0,0.0
84bc6b5ffffffff,21.0,2.0,0.0
84bc6b7ffffffff,5.0,0.0,0.0
84bc6b9ffffffff,14.0,2.0,0.0
84bc6bbffffffff,19.0,8.0,0.0
84bc6bdffffffff,18.0,6.0,0.0
84bc717ffffffff,39.0,0.0,0.0
84bc723ffffffff,13.0,0.0,0.0
84bc731ffffffff,8.0,0.0,0.0
84bc735ffffffff,1.0,0.0,0.0
84bc737ffffffff,34.0,10.0,0.0
84bc739ffffffff,25.0,6.0,0.0
84bc73bffffffff,47.0,4.0,0.0
84bc73dffffffff,3.0,0.0,0.0
84bc89bffffffff,3.0,0.0,0.0
84bc8d3ffffffff,3.0,0.0,0.0
84bcc05ffffffff,4.0,0.0,0.0
84bcc15ffffffff,8.0,0.0,0.0
84bcc17ffffffff,4.0,0.0,0.0
84bcc23ffffffff,248.0,0.0,51.0
84bcc27ffffffff,13.0,0.0,2.0
84bcc29ffffffff,6.0,0.0,0.0
84bcc2bffffffff,9.0,0.0,1.0
84bcc2dffffffff,10.0,0.0,0.0
84bcc31ffffffff,2.0,0.0,0.0
84bcc33ffffffff,8.0,0.0,4.0
84bcc35ffffffff,273.0,0.0,91.0
84bcc37ffffffff,14.0,0.0,4.0
84bcc3bffffffff,8.0,0.0,3.0
84bcc3dffffffff,193.0,0.0,21.0
84bcc49ffffffff,38.0,0.0,5.0
84bcc4bffffffff,32.0,0.0,8.0
84bcc4dffffffff,6.0,0.0,0.0
84bcc65ffffffff,4.0,0.0,2.0
84bcc67ffffffff,1.0,0.0,0.0
84bcc69ffffffff,8.0,0.0,0.0
84bcc6dffffffff,37.0,0.0,2.0
84bcca1ffffffff,2.0,0.0,0.0
84bcca5ffffffff,3.0,0.0,0.0
84bcca7ffffffff,1.0,0.0,0.0
84bcca9ffffffff,3.0,0.0,0.0
84bccc7ffffffff,2.0,0.0,0.0
84bcccbffffffff,2.0,0.0,0.0
84bcd01ffffffff,164.0,0.0,42.0
84bcd03ffffffff,17.0,0.0,3.0
84bcd05ffffffff,66.0,0.0,35.0
84bcd07ffffffff,281.0,0.0,70.0
84bcd09ffffffff,21.0,0.0,9.0
84bcd0bffffffff,26.0,0.0,8.0
84bcd0dffffffff,4.0,0.0,1.0
84bcd11ffffffff,25.0,0.0,0.0
84bcd13ffffffff,12.0,0.0,6.0
84bcd15ffffffff,15.0,0.0,0.0
84bcd19ffffffff,20.0,0.0,2.0
84bcd1bffffffff,9.0,0.0,0.0
84bcd1dffffffff,42.0,0.0,13.0
84bcd21ffffffff,17.0,0.0,2.0
84bcd23ffffffff,18.0,0.0,2.0
84bcd27ffffffff,2.0,0.0,0.0
84bcd29ffffffff,147.0,0.0,25.0
84bcd33ffffffff,2.0,0.0,0.0
84bcd35ffffffff,6.0,0.0,4.0
84bcd37ffffffff,50.0,0.0,9.0
84bcd3dffffffff,90.0,0.0,25.0
84bcd41ffffffff,6.0,0.0,0.0
84bcd43ffffffff,27.0,0.0,1.0
84bcd45ffffffff,25.0,0.0,1.0
84bcd47ffffffff,12.0,0.0,0.0
84bcd4bffffffff,55.0,0.0,46.0
84bcd55ffffffff,11.0,0.0,3.0
84bcd57ffffffff,8.0,0.0,2.0
84bcd61ffffffff,2.0,0.0,0.0
84bcd63ffffffff,18.0,0.0,6.0
84bcd67ffffffff,7.0,0.0,1.0
84bcd6bffffffff,2.0,0.0,2.0
84bcd81ffffffff,9.0,0.0,0.0
84bcd85ffffffff,7.0,0.0,0.0
84bcd89ffffffff,13.0,0.0,6.0
84bcd99ffffffff,4.0,0.0,0.0
84bcdc1ffffffff,67.0,0.0,17.0
84bcdc3ffffffff,21.0,0.0,7.0
84bcdc5ffffffff,6.0,0.0,0.0
84bcdc7ffffffff,23.0,0.0,13.0
84bcdc9ffffffff,266.0,0.0,69.0
84bcdcbffffffff,14.0,0.0,1.0
84bcdcdffffffff,22.0,0.0,3.0
84bcdd1ffffffff,39.0,0.0,10.0
84bcdd9ffffffff,9.0,0.0,4.0
84bcddbffffffff,1.0,0.0,0.0
84bcdddffffffff,5.0,0.0,1.0
84bcde1ffffffff,2.0,0.0,0.0
84bcde3ffffffff,4.0,0.0,0.0
84bcde5ffffffff,41.0,0.0,0.0
84bcde7ffffffff,2.0,0.0,0.0
84bcdebffffffff,21.0,0.0,0.0
84bce05ffffffff,14.0,0.0,0.0
84bce09ffffffff,3.0,0.0,0.0
84bce15ffffffff,4.0,0.0,0.0
84bce21ffffffff,49.0,3.0,0.0
84bce25ffffffff,2.0,0.0,0.0
84bce27ffffffff,7.0,0.0,0.0
84bce29ffffffff,242.0,6.0,48.0
84bce2dffffffff,29.0,0.0,11.0
84bce35ffffffff,2.0,0.0,0.0
84bce37ffffffff,3.0,0.0,0.0
84bce49ffffffff,2.0,0.0,0.0
84bce4dffffffff,2.0,0.0,0.0
84bce51ffffffff,4.0,0.0,0.0
84bce61ffffffff,15.0,0.0,0.0
84bce63ffffffff,23.0,0.0,1.0
84bce65ffffffff,26.0,0.0,9.0
84bce67ffffffff,155.0,0.0,24.0
84bce69ffffffff,8.0,0.0,0.0
84bce6bffffffff,10.0,0.0,3.0
84bce6dffffffff,7.0,0.0,0.0
84bce95ffffffff,1.0,0.0,0.0
84bcec9ffffffff,2.0,0.0,0.0
84bced1ffffffff,1.0,0.0,0.0
84bcee3ffffffff,2.0,0.0,0.0
84bcf05ffffffff,11.0,0.0,1.0
84bcf09ffffffff,209.0,2.0,29.0
84bcf0bffffffff,1.0,0.0,0.0
84bcf0dffffffff,1.0,0.0,0.0
84bcf13ffffffff,1.0,0.0,0.0
84bcf17ffffffff,6.0,0.0,0.0
84bcf19ffffffff,1.0,0.0,1.0
84bcf1bffffffff,13.0,0.0,0.0
84bcf1dffffffff,6.0,0.0,0.0
84bcf21ffffffff,12.0,0.0,0.0
84bcf25ffffffff,4.0,0.0,0.0
84bcf27ffffffff,2.0,0.0,0.0
84bcf29ffffffff,175.0,0.0,27.0
84bcf2dffffffff,4.0,0.0,0.0
84bcf33ffffffff,76.0,0.0,13.0
84bcf35ffffffff,2.0,0.0,0.0
84bcf37ffffffff,1.0,0.0,0.0
84bcf39ffffffff,5.0,0.0,0.0
84bcf3bffffffff,3.0,0.0,1.0
84bcf3dffffffff,3.0,0.0,0.0
84bcf43ffffffff,12.0,0.0,0.0
84bcf47ffffffff,85.0,0.0,23.0
84bcf51ffffffff,2.0,0.0,0.0
84bcf53ffffffff,71.0,0.0,12.0
84bcf55ffffffff,1.0,0.0,1.0
84bcf59ffffffff,91.0,0.0,16.0
84bcf5bffffffff,913.0,10.0,479.0
84bcf5dffffffff,39.0,0.0,9.0
84bcf61ffffffff,115.0,0.0,14.0
84bcf63ffffffff,46.0,0.0,0.0
84bcf67ffffffff,11.0,0.0,0.0
84bcf6bffffffff,1.0,0.0,0.0
