cell_id,Arremon aurantiirostris,Arremon aurantiirostris [aurantiirostris Group],Arremon aurantiirostris erythrorhynchus,Arremon aurantiirostris spectabilis
8445233ffffffff,22.0,0.0,0.0,0.0
8445257ffffffff,2.0,0.0,0.0,0.0
84452e1ffffffff,3.0,0.0,0.0,0.0
8466113ffffffff,2.0,0.0,0.0,0.0
8466163ffffffff,2.0,2.0,0.0,0.0
846618dffffffff,2.0,0.0,0.0,0.0
84661b1ffffffff,43.0,0.0,0.0,0.0
84661b7ffffffff,6.0,0.0,0.0,0.0
84661bbffffffff,2.0,0.0,0.0,0.0
84661bdffffffff,3.0,0.0,0.0,0.0
84661c3ffffffff,3.0,0.0,0.0,0.0
84661cdffffffff,14.0,0.0,0.0,0.0
84661ebffffffff,18.0,0.0,0.0,0.0
8466a0bffffffff,2.0,2.0,0.0,0.0
8466a51ffffffff,1.0,1.0,0.0,0.0
8466b0bffffffff,1.0,1.0,0.0,0.0
8466b49ffffffff,1.0,0.0,0.0,0.0
8466b53ffffffff,2.0,2.0,0.0,0.0
8466b55ffffffff,2.0,0.0,0.0,0.0
8466c27ffffffff,1.0,0.0,0.0,0.0
8466c2bffffffff,3.0,0.0,0.0,0.0
8466c2dffffffff,1.0,0.0,0.0,0.0
8466d01ffffffff,2.0,0.0,0.0,0.0
8466d0bffffffff,142.0,0.0,0.0,0.0
8466d1bffffffff,3.0,0.0,0.0,0.0
8466d51ffffffff,5.0,0.0,0.0,0.0
8466f03ffffffff,1.0,0.0,0.0,0.0
8466f0bffffffff,5.0,0.0,0.0,0.0
8466f1dffffffff,21.0,0.0,0.0,0.0
8467961ffffffff,2.0,0.0,0.0,0.0
84679a5ffffffff,5.0,0.0,0.0,0.0
846d23dffffffff,2.0,0.0,0.0,0.0
846d2c3ffffffff,2.0,0.0,0.0,0.0
846d30dffffffff,1.0,1.0,0.0,0.0
846d319ffffffff,8.0,8.0,0.0,0.0
846d369ffffffff,2.0,0.0,0.0,0.0
846d68dffffffff,2.0,0.0,0.0,0.0
846d695ffffffff,1.0,0.0,0.0,0.0
846d697ffffffff,14.0,5.0,0.0,0.0
846d69dffffffff,10.0,2.0,0.0,0.0
848f289ffffffff,2.0,0.0,0.0,0.0
