cell_id,Vireo huttoni,Vireo huttoni [huttoni Group],Vireo huttoni [stephensi Group]
8412991ffffffff,4.0,0.0,0.0
8412993ffffffff,2.0,0.0,0.0
84129abffffffff,1.0,0.0,0.0
84129b7ffffffff,10.0,0.0,0.0
84129b9ffffffff,4.0,0.0,0.0
84129bbffffffff,18.0,0.0,0.0
84129bdffffffff,6.0,0.0,0.0
8428005ffffffff,71.0,0.0,0.0
8428007ffffffff,6.0,0.0,0.0
8428021ffffffff,156.0,0.0,0.0
8428023ffffffff,1165.0,0.0,0.0
8428025ffffffff,12.0,0.0,0.0
8428027ffffffff,34.0,0.0,0.0
8428029ffffffff,36.0,0.0,0.0
842802bffffffff,617.0,0.0,0.0
842802dffffffff,14.0,0.0,0.0
8428035ffffffff,63.0,0.0,0.0
8428061ffffffff,66.0,0.0,0.0
8428063ffffffff,215.0,0.0,0.0
8428065ffffffff,17.0,0.0,0.0
8428067ffffffff,42.0,0.0,0.0
8428069ffffffff,237.0,0.0,0.0
842806bffffffff,104.0,0.0,0.0
842806dffffffff,191.0,0.0,0.0
8428109ffffffff,3.0,0.0,0.0
842810bffffffff,4.0,0.0,0.0
8428111ffffffff,267.0,0.0,0.0
8428113ffffffff,9.0,0.0,0.0
8428119ffffffff,23.0,0.0,0.0
842811bffffffff,2.0,0.0,0.0
842811dffffffff,28.0,0.0,0.0
8428141ffffffff,51.0,0.0,0.0
8428143ffffffff,31.0,0.0,0.0
8428147ffffffff,1.0,0.0,0.0
8428149ffffffff,729.0,0.0,0.0
842814bffffffff,237.0,0.0,0.0
842814dffffffff,33.0,0.0,0.0
8428151ffffffff,30.0,0.0,0.0
8428153ffffffff,50.0,0.0,0.0
8428155ffffffff,23.0,0.0,0.0
8428157ffffffff,38.0,0.0,0.0
8428159ffffffff,5.0,0.0,0.0
842815dffffffff,52.0,0.0,0.0
8428181ffffffff,7.0,0.0,0.0
8428183ffffffff,186.0,0.0,0.0
8428185ffffffff,13.0,0.0,0.0
8428187ffffffff,23.0,0.0,0.0
8428189ffffffff,19.0,0.0,0.0
842818bffffffff,58.0,0.0,0.0
842818dffffffff,40.0,2.0,0.0
8428195ffffffff,45.0,0.0,0.0
842819dffffffff,83.0,0.0,0.0
84281a1ffffffff,3.0,0.0,0.0
84281a3ffffffff,132.0,0.0,0.0
84281a7ffffffff,29.0,0.0,0.0
84281a9ffffffff,10.0,0.0,0.0
84281abffffffff,2.0,0.0,0.0
84281b1ffffffff,74.0,0.0,0.0
84281b3ffffffff,123.0,0.0,0.0
84281b5ffffffff,413.0,0.0,0.0
