cell_id,Mixornis gularis,Mixornis gularis [gularis Group],Mixornis gularis woodi
833c06fffffffff,4.0,0.0,0.0
833c0afffffffff,11.0,0.0,0.0
833c15fffffffff,118.0,0.0,0.0
833c19fffffffff,300.0,9.0,0.0
833c1cfffffffff,47.0,0.0,0.0
833c1dfffffffff,41.0,0.0,0.0
833c33fffffffff,15.0,2.0,0.0
833c36fffffffff,26.0,0.0,0.0
833c52fffffffff,104.0,0.0,0.0
833c53fffffffff,8.0,0.0,0.0
833c58fffffffff,131.0,0.0,0.0
833c5afffffffff,784.0,0.0,0.0
833c5bfffffffff,168.0,0.0,0.0
833c5cfffffffff,3.0,0.0,0.0
833c5efffffffff,19.0,0.0,0.0
833c82fffffffff,7.0,0.0,0.0
833c83fffffffff,36.0,0.0,0.0
833c88fffffffff,98.0,0.0,0.0
833c89fffffffff,2.0,0.0,0.0
833c8cfffffffff,107.0,0.0,0.0
833c8dfffffffff,1.0,0.0,0.0
833c8efffffffff,12.0,0.0,0.0
833c90fffffffff,135.0,0.0,0.0
833c92fffffffff,261.0,0.0,0.0
833c94fffffffff,190.0,0.0,0.0
833c95fffffffff,5.0,0.0,0.0
833c96fffffffff,33.0,0.0,0.0
833cabfffffffff,18.0,0.0,0.0
833cacfffffffff,2.0,0.0,0.0
833cadfffffffff,3.0,0.0,0.0
833cc0fffffffff,246.0,0.0,0.0
833cc2fffffffff,42.0,0.0,0.0
833cc3fffffffff,3.0,0.0,0.0
833cc4fffffffff,253.0,0.0,0.0
833cc5fffffffff,245.0,0.0,0.0
833cc6fffffffff,89.0,0.0,0.0
833cc8fffffffff,3.0,0.0,0.0
833ccbfffffffff,7.0,0.0,0.0
833cccfffffffff,4.0,0.0,0.0
833ccdfffffffff,2.0,2.0,0.0
833cd1fffffffff,9.0,0.0,0.0
833cd4fffffffff,61.0,0.0,0.0
833cd8fffffffff,6.0,0.0,0.0
833cd9fffffffff,9.0,5.0,0.0
833cdbfffffffff,5.0,0.0,0.0
833cdcfffffffff,11.0,0.0,0.0
833cddfffffffff,3.0,0.0,0.0
833ce0fffffffff,18.0,0.0,0.0
833ce1fffffffff,478.0,0.0,0.0
833ce2fffffffff,76.0,0.0,0.0
833ce3fffffffff,22.0,0.0,0.0
833ce4fffffffff,187.0,17.0,0.0
833ce5fffffffff,392.0,4.0,0.0
833ce8fffffffff,45.0,0.0,0.0
833ce9fffffffff,4.0,0.0,0.0
833cebfffffffff,8.0,0.0,0.0
