cell_id,Melanopareia torquata,Melanopareia torquata bitorquata,Melanopareia torquata torquata/rufescens
82802ffffffffff,2.0,0.0,0.0
828107fffffffff,256.0,0.0,17.0
82810ffffffffff,2.0,0.0,0.0
828127fffffffff,52.0,0.0,7.0
82812ffffffffff,15.0,0.0,0.0
828137fffffffff,1.0,0.0,0.0
828147fffffffff,6.0,0.0,1.0
828157fffffffff,10.0,0.0,0.0
828167fffffffff,2.0,0.0,0.0
828177fffffffff,84.0,0.0,9.0
828b07fffffffff,2.0,0.0,0.0
828b17fffffffff,14.0,0.0,0.0
828b37fffffffff,1.0,0.0,0.0
828ba7fffffffff,5.0,0.0,0.0
828bb7fffffffff,287.0,0.0,0.0
82a84ffffffffff,3.0,0.0,0.0
82a857fffffffff,12.0,0.0,0.0
82a85ffffffffff,2.0,0.0,0.0
82a877fffffffff,3.0,0.0,0.0
82a887fffffffff,92.0,0.0,12.0
82a88ffffffffff,114.0,0.0,49.0
82a8affffffffff,177.0,0.0,58.0
82a8c7fffffffff,7.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
82a8d7fffffffff,307.0,0.0,68.0
82a8dffffffffff,129.0,0.0,2.0
82a8effffffffff,88.0,0.0,1.0
82a8f7fffffffff,26.0,0.0,2.0
82a947fffffffff,1.0,0.0,0.0
82a95ffffffffff,48.0,0.0,0.0
