cell_id,Saucerottia cyanocephala,Saucerottia cyanocephala cyanocephala,Saucerottia cyanocephala chlorostephana
824507fffffffff,6.0,0.0,0.0
824527fffffffff,2931.0,64.0,0.0
82452ffffffffff,2466.0,81.0,0.0
824537fffffffff,336.0,0.0,0.0
824997fffffffff,3512.0,985.0,0.0
82499ffffffffff,185.0,4.0,0.0
826797fffffffff,56.0,0.0,39.0
8267b7fffffffff,17.0,0.0,6.0
826d07fffffffff,129.0,11.0,0.0
826d27fffffffff,539.0,82.0,0.0
826d2ffffffffff,10028.0,2540.0,0.0
826d37fffffffff,432.0,33.0,0.0
826d67fffffffff,3040.0,0.0,0.0
826d77fffffffff,2.0,0.0,0.0
