cell_id,Cistothorus platensis,Cistothorus platensis [elegans Group],Cistothorus platensis alticola,Cistothorus platensis aequatorialis,Cistothorus platensis graminicola,Cistothorus platensis minimus,Cistothorus platensis tucumanus,Cistothorus platensis platensis/polyglottus,Cistothorus platensis hornensis/falklandicus
8445233ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445243ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445245ffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844524bffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844525dffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84452c5ffffffff,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84452edffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445321ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8445365ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449961ffffffff,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449963ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845f483ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466083ffffffff,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
84660ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466b4dffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466d11ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8466d1dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466de5ffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8466e43ffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
8466e55ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8466e6dffffffff,16.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
8466ee5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84674edffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
846790dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d287ffffffff,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
846d291ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
