cell_id,Strix huhula,Strix huhula [undescribed cloud-forest form]
84a8c05ffffffff,2.0,0.0
84a8c25ffffffff,4.0,0.0
84a8d1bffffffff,12.0,0.0
84a9425ffffffff,11.0,0.0
84a9427ffffffff,1.0,0.0
84a9507ffffffff,3.0,0.0
84a950bffffffff,9.0,0.0
84a9531ffffffff,12.0,0.0
84a9539ffffffff,4.0,0.0
84a953bffffffff,61.0,0.0
84a95edffffffff,4.0,0.0
84b3425ffffffff,21.0,0.0
84b3513ffffffff,1.0,0.0
84b35c9ffffffff,29.0,0.0
