cell_id,Sula leucogaster,Sula leucogaster leucogaster,Sula leucogaster plotus
8445b3dffffffff,2.0,0.0,0.0
8446065ffffffff,2.0,0.0,0.0
8446081ffffffff,3.0,0.0,0.0
8446083ffffffff,13.0,0.0,0.0
844608bffffffff,8.0,0.0,0.0
8446091ffffffff,2.0,0.0,0.0
8446093ffffffff,2.0,0.0,0.0
8446095ffffffff,4.0,0.0,0.0
844633dffffffff,39.0,0.0,0.0
8446417ffffffff,3.0,0.0,0.0
8446421ffffffff,2.0,0.0,0.0
8446423ffffffff,4.0,0.0,0.0
8446427ffffffff,3.0,0.0,0.0
8446429ffffffff,2.0,0.0,0.0
844642dffffffff,6.0,0.0,0.0
8446431ffffffff,2.0,0.0,0.0
8446433ffffffff,6.0,0.0,0.0
8446437ffffffff,2.0,0.0,0.0
8446481ffffffff,5.0,0.0,0.0
8446483ffffffff,227.0,0.0,34.0
8446487ffffffff,129.0,0.0,0.0
8446495ffffffff,752.0,0.0,76.0
8446497ffffffff,4.0,0.0,0.0
84464b9ffffffff,119.0,0.0,24.0
84464bbffffffff,8.0,0.0,0.0
84464e1ffffffff,1062.0,0.0,102.0
84464e3ffffffff,194.0,0.0,20.0
84464e5ffffffff,465.0,0.0,21.0
84464e7ffffffff,490.0,0.0,66.0
84464edffffffff,2.0,0.0,1.0
8446541ffffffff,4.0,0.0,0.0
8446545ffffffff,2.0,0.0,0.0
844654dffffffff,1.0,0.0,0.0
8446553ffffffff,6.0,0.0,0.0
8446557ffffffff,2.0,0.0,0.0
84465d9ffffffff,21.0,0.0,0.0
84465dbffffffff,2.0,0.0,0.0
8447a27ffffffff,2.0,0.0,0.0
8447a35ffffffff,96.0,0.0,0.0
8448909ffffffff,14.0,0.0,0.0
8448947ffffffff,19.0,0.0,0.0
8448951ffffffff,1.0,0.0,0.0
8448955ffffffff,96.0,0.0,0.0
844a48dffffffff,1.0,0.0,0.0
844a499ffffffff,2.0,0.0,2.0
844a4abffffffff,1.0,0.0,0.0
844a4c7ffffffff,1.0,0.0,0.0
844a4d1ffffffff,1.0,0.0,1.0
844a4d9ffffffff,1.0,0.0,1.0
844a4dbffffffff,2.0,0.0,2.0
844a687ffffffff,1.0,0.0,0.0
844a691ffffffff,6.0,0.0,0.0
844a693ffffffff,2.0,0.0,0.0
844a697ffffffff,10.0,0.0,0.0
844a699ffffffff,2.0,0.0,0.0
844a6b3ffffffff,2.0,0.0,0.0
844a6d3ffffffff,5.0,0.0,4.0
844a6dbffffffff,3.0,0.0,1.0
844b125ffffffff,298.0,0.0,57.0
844b127ffffffff,52.0,0.0,0.0
844b1e1ffffffff,1.0,0.0,1.0
844b1e5ffffffff,2.0,0.0,2.0
844b561ffffffff,13.0,0.0,1.0
844b609ffffffff,2.0,0.0,0.0
844b665ffffffff,7.0,0.0,7.0
844b66dffffffff,4.0,0.0,0.0
844b70bffffffff,2.0,0.0,0.0
844b739ffffffff,1.0,0.0,0.0
844b741ffffffff,2.0,0.0,0.0
844b751ffffffff,34.0,0.0,19.0
844b757ffffffff,27.0,0.0,0.0
844b759ffffffff,9.0,0.0,5.0
844b841ffffffff,35.0,0.0,0.0
844b845ffffffff,3.0,0.0,0.0
844b84bffffffff,15.0,0.0,0.0
844b861ffffffff,12.0,0.0,0.0
844b863ffffffff,6.0,0.0,1.0
844b86bffffffff,10.0,0.0,0.0
844b86dffffffff,6.0,0.0,2.0
844ba09ffffffff,5.0,0.0,0.0
844ba0dffffffff,13.0,0.0,0.0
844ba11ffffffff,307.0,0.0,13.0
844ba13ffffffff,1.0,0.0,0.0
844ba15ffffffff,481.0,0.0,19.0
844ba17ffffffff,38.0,0.0,0.0
844ba19ffffffff,1203.0,0.0,104.0
844ba1bffffffff,12.0,0.0,7.0
844ba1dffffffff,178.0,0.0,4.0
844ba31ffffffff,1.0,0.0,1.0
844ba35ffffffff,14.0,0.0,0.0
844ba37ffffffff,1.0,0.0,0.0
844ba39ffffffff,37.0,0.0,0.0
844ba3bffffffff,234.0,0.0,0.0
844ba47ffffffff,8.0,0.0,0.0
844ba4bffffffff,1.0,0.0,0.0
844ba53ffffffff,119.0,0.0,7.0
844ba55ffffffff,11.0,0.0,0.0
844ba57ffffffff,158.0,0.0,17.0
844ba5dffffffff,18.0,0.0,1.0
844ba67ffffffff,2.0,0.0,0.0
844ba87ffffffff,2.0,0.0,0.0
844ba89ffffffff,2.0,0.0,0.0
844bacdffffffff,2.0,0.0,0.0
844bad9ffffffff,1.0,0.0,0.0
844badbffffffff,1.0,0.0,0.0
844bb17ffffffff,16.0,0.0,0.0
844bb19ffffffff,20.0,0.0,0.0
844bb51ffffffff,2.0,0.0,0.0
844bb57ffffffff,2.0,0.0,0.0
844bb5bffffffff,9.0,0.0,0.0
844c823ffffffff,2.0,0.0,0.0
844c85dffffffff,2.0,0.0,0.0
844c883ffffffff,10.0,0.0,0.0
844c887ffffffff,1.0,0.0,0.0
844c899ffffffff,2.0,0.0,0.0
844c8c9ffffffff,3.0,0.0,0.0
844c8d7ffffffff,2.0,0.0,0.0
844c913ffffffff,2.0,0.0,0.0
844c931ffffffff,5.0,2.0,0.0
844c935ffffffff,2.0,0.0,0.0
844c951ffffffff,2.0,0.0,0.0
844c9c3ffffffff,2.0,0.0,0.0
844c9e9ffffffff,2.0,0.0,0.0
844c9ebffffffff,1.0,0.0,0.0
844caa5ffffffff,2.0,0.0,0.0
844cab5ffffffff,2.0,0.0,0.0
844cabdffffffff,3.0,0.0,0.0
844cb01ffffffff,2.0,0.0,0.0
844cb07ffffffff,2.0,0.0,0.0
844cb15ffffffff,2.0,0.0,0.0
844cb31ffffffff,2.0,0.0,0.0
844cb33ffffffff,3.0,0.0,0.0
844cb39ffffffff,2.0,0.0,0.0
844cb3dffffffff,95.0,0.0,0.0
844cc05ffffffff,11.0,0.0,0.0
844cc09ffffffff,109.0,0.0,0.0
844cc0bffffffff,173.0,0.0,0.0
844cc0dffffffff,6.0,0.0,0.0
844cc23ffffffff,2.0,0.0,0.0
844cc2bffffffff,2.0,0.0,0.0
844cc2dffffffff,6.0,0.0,0.0
844cc31ffffffff,2.0,0.0,0.0
844cc43ffffffff,63.0,0.0,0.0
844cc53ffffffff,11.0,0.0,0.0
844cc55ffffffff,62.0,0.0,0.0
844cc57ffffffff,27.0,0.0,0.0
844cc59ffffffff,262.0,0.0,0.0
844cc5dffffffff,34.0,0.0,0.0
844cc61ffffffff,15.0,0.0,0.0
844cc67ffffffff,6.0,0.0,0.0
844cc69ffffffff,2.0,0.0,0.0
844cd09ffffffff,5.0,0.0,0.0
