cell_id,Pteroglossus azara,Pteroglossus azara flavirostris,Pteroglossus azara azara,Pteroglossus azara mariae
825f6ffffffffff,20.0,0.0,0.0,0.0
825f77fffffffff,12.0,0.0,0.0,0.0
826647fffffffff,220.0,3.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0,0.0
826657fffffffff,3.0,0.0,0.0,0.0
82665ffffffffff,181.0,8.0,0.0,0.0
826667fffffffff,3.0,0.0,0.0,0.0
82666ffffffffff,24.0,0.0,0.0,0.0
8266c7fffffffff,56.0,3.0,0.0,0.0
8266cffffffffff,14.0,2.0,0.0,0.0
8266d7fffffffff,5.0,0.0,0.0,0.0
8266dffffffffff,834.0,87.0,0.0,0.0
8266e7fffffffff,4.0,0.0,0.0,0.0
8266effffffffff,51.0,4.0,0.0,0.0
828a07fffffffff,87.0,0.0,0.0,60.0
828a1ffffffffff,6.0,0.0,0.0,2.0
828a27fffffffff,1.0,0.0,0.0,0.0
828a47fffffffff,42.0,2.0,0.0,0.0
828a4ffffffffff,3.0,0.0,0.0,0.0
828a57fffffffff,7.0,0.0,0.0,0.0
828a6ffffffffff,153.0,0.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0,0.0
828aaffffffffff,3.0,0.0,0.0,0.0
828adffffffffff,9.0,3.0,0.0,0.0
828ae7fffffffff,3.0,0.0,0.0,0.0
828af7fffffffff,68.0,0.0,6.0,8.0
828b47fffffffff,344.0,0.0,0.0,25.0
828b4ffffffffff,1.0,0.0,0.0,1.0
828b57fffffffff,9.0,0.0,0.0,2.0
828b5ffffffffff,13.0,0.0,0.0,13.0
828b67fffffffff,109.0,0.0,0.0,7.0
828b6ffffffffff,66.0,0.0,0.0,4.0
828b77fffffffff,50.0,0.0,0.0,8.0
828e67fffffffff,2.0,0.0,0.0,0.0
828f47fffffffff,66.0,0.0,0.0,16.0
828f4ffffffffff,15.0,0.0,0.0,0.0
828f67fffffffff,43.0,0.0,0.0,0.0
828f6ffffffffff,33.0,0.0,0.0,0.0
828f77fffffffff,95.0,11.0,0.0,2.0
