cell_id,Vireo flavoviridis,Vireo flavoviridis [flavoviridis Group],Vireo flavoviridis forreri
824507fffffffff,250.0,0.0,0.0
82450ffffffffff,2232.0,0.0,0.0
82451ffffffffff,3.0,0.0,0.0
824527fffffffff,1096.0,0.0,0.0
82452ffffffffff,9259.0,0.0,0.0
824537fffffffff,16.0,0.0,0.0
824577fffffffff,43.0,0.0,0.0
824807fffffffff,18.0,0.0,0.0
82480ffffffffff,67.0,0.0,0.0
824817fffffffff,4.0,0.0,0.0
824837fffffffff,382.0,0.0,0.0
824887fffffffff,22.0,0.0,0.0
8248a7fffffffff,430.0,0.0,0.0
8248b7fffffffff,12.0,0.0,0.0
8248e7fffffffff,46.0,0.0,0.0
824987fffffffff,14.0,0.0,0.0
82498ffffffffff,1.0,0.0,0.0
824997fffffffff,91.0,0.0,0.0
82499ffffffffff,271.0,0.0,0.0
8249a7fffffffff,16.0,0.0,0.0
8249affffffffff,392.0,0.0,0.0
8249b7fffffffff,69.0,0.0,0.0
826607fffffffff,60.0,0.0,0.0
82660ffffffffff,62.0,0.0,0.0
826617fffffffff,615.0,0.0,0.0
82661ffffffffff,238.0,0.0,0.0
826627fffffffff,282.0,0.0,0.0
826637fffffffff,23.0,0.0,0.0
826647fffffffff,4.0,0.0,0.0
826657fffffffff,22.0,0.0,0.0
82665ffffffffff,27.0,0.0,0.0
826687fffffffff,10.0,0.0,0.0
8266a7fffffffff,3718.0,0.0,0.0
8266b7fffffffff,2533.0,0.0,0.0
8266c7fffffffff,286.0,0.0,0.0
8266cffffffffff,5.0,0.0,0.0
8266d7fffffffff,13.0,0.0,0.0
8266dffffffffff,762.0,0.0,0.0
8266e7fffffffff,524.0,0.0,0.0
8266effffffffff,28.0,0.0,0.0
8266f7fffffffff,45.0,0.0,0.0
826797fffffffff,12.0,0.0,0.0
82679ffffffffff,227.0,0.0,0.0
826d07fffffffff,255.0,0.0,0.0
826d17fffffffff,353.0,0.0,0.0
826d27fffffffff,254.0,0.0,0.0
826d2ffffffffff,1049.0,0.0,0.0
826d37fffffffff,381.0,0.0,0.0
826d67fffffffff,781.0,0.0,0.0
826d6ffffffffff,8739.0,0.0,0.0
826d77fffffffff,723.0,0.0,0.0
828a47fffffffff,2.0,0.0,0.0
828a6ffffffffff,26.0,0.0,0.0
828b47fffffffff,87.0,0.0,0.0
828b67fffffffff,96.0,0.0,0.0
828b6ffffffffff,9.0,0.0,0.0
828b77fffffffff,24.0,0.0,0.0
828e67fffffffff,27.0,0.0,0.0
828f47fffffffff,67.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0
828f67fffffffff,5.0,0.0,0.0
828f6ffffffffff,2.0,0.0,0.0
828f77fffffffff,9.0,0.0,0.0
82b327fffffffff,4.0,0.0,0.0
