cell_id,Phapitreron amethystinus,Phapitreron amethystinus amethystinus/imeldae,Phapitreron amethystinus maculipectus,Phapitreron amethystinus frontalis
846846dffffffff,17.0,0.0,17.0,0.0
8468751ffffffff,2.0,0.0,2.0,0.0
84694edffffffff,2.0,0.0,0.0,0.0
