cell_id,Copsychus albospecularis,Copsychus albospecularis albospecularis,Copsychus albospecularis inexspectatus,Copsychus albospecularis pica
83a204fffffffff,3.0,0.0,0.0,0.0
83a210fffffffff,2.0,0.0,0.0,0.0
83a214fffffffff,455.0,0.0,27.0,2.0
83a215fffffffff,6.0,0.0,5.0,0.0
83a216fffffffff,12.0,0.0,0.0,0.0
83a222fffffffff,260.0,2.0,4.0,0.0
83a231fffffffff,436.0,4.0,30.0,2.0
83a235fffffffff,77.0,0.0,0.0,1.0
83a236fffffffff,3.0,0.0,0.0,0.0
83a2a3fffffffff,147.0,0.0,0.0,2.0
83a2a4fffffffff,76.0,0.0,1.0,6.0
83a2a6fffffffff,10.0,0.0,0.0,3.0
83a2aefffffffff,34.0,1.0,1.0,1.0
83a308fffffffff,56.0,0.0,0.0,11.0
83a309fffffffff,24.0,0.0,0.0,0.0
83a30dfffffffff,2.0,0.0,0.0,0.0
83a30efffffffff,9.0,0.0,0.0,0.0
83a318fffffffff,11.0,0.0,0.0,0.0
83a319fffffffff,362.0,2.0,10.0,29.0
83a31cfffffffff,4.0,0.0,0.0,0.0
83a31dfffffffff,4.0,0.0,0.0,0.0
83a356fffffffff,130.0,16.0,0.0,0.0
83a376fffffffff,33.0,0.0,0.0,2.0
83a388fffffffff,2.0,0.0,0.0,0.0
83a389fffffffff,1.0,0.0,0.0,0.0
83a38bfffffffff,105.0,1.0,4.0,4.0
83a38cfffffffff,3.0,0.0,0.0,0.0
83a38dfffffffff,38.0,0.0,0.0,2.0
83a38efffffffff,3.0,0.0,0.0,0.0
83a399fffffffff,512.0,1.0,18.0,46.0
83a39dfffffffff,21.0,0.0,0.0,0.0
83a3abfffffffff,7.0,0.0,0.0,0.0
83a3adfffffffff,5.0,0.0,0.0,0.0
