cell_id,Myiagra eichhorni,Myiagra eichhorni eichhorni,Myiagra eichhorni cervinicolor
8276b7fffffffff,1.0,0.0,0.0
82779ffffffffff,8.0,0.0,0.0
829c97fffffffff,89.0,0.0,0.0
