cell_id,Tangara parzudakii,Tangara parzudakii parzudakii/urubambae,Tangara parzudakii lunigera
846608dffffffff,174.0,3.0,0.0
8466097ffffffff,3.0,0.0,0.0
84660a3ffffffff,8.0,0.0,0.0
84660b3ffffffff,16.0,0.0,0.0
84660b7ffffffff,3.0,0.0,0.0
8466181ffffffff,1.0,0.0,0.0
8466189ffffffff,1.0,0.0,0.0
84661b1ffffffff,489.0,0.0,80.0
84661b3ffffffff,7.0,0.0,0.0
84661b7ffffffff,30.0,0.0,2.0
84661b9ffffffff,42.0,0.0,4.0
84661bbffffffff,59.0,0.0,0.0
84661bdffffffff,2.0,0.0,0.0
8466c0dffffffff,474.0,0.0,0.0
8466c21ffffffff,258.0,21.0,0.0
8466c25ffffffff,54.0,0.0,0.0
8466c29ffffffff,23.0,0.0,0.0
8466c2dffffffff,45.0,0.0,0.0
8466c41ffffffff,4.0,0.0,0.0
8466c47ffffffff,86.0,0.0,0.0
8466c49ffffffff,16.0,0.0,0.0
8466c4bffffffff,11.0,0.0,0.0
8466c4dffffffff,10.0,0.0,0.0
8466c61ffffffff,31.0,0.0,0.0
8466c63ffffffff,249.0,21.0,0.0
8466c67ffffffff,164.0,2.0,0.0
8466c6bffffffff,67.0,0.0,0.0
8466d03ffffffff,117.0,0.0,1.0
8466d07ffffffff,2.0,0.0,0.0
8466d0bffffffff,461.0,0.0,59.0
8466d11ffffffff,10.0,0.0,0.0
8466d19ffffffff,3.0,0.0,0.0
8466d1bffffffff,8.0,0.0,0.0
8466d1dffffffff,1.0,0.0,0.0
8466d21ffffffff,4.0,0.0,0.0
8466d31ffffffff,5423.0,0.0,554.0
8466d35ffffffff,300.0,0.0,15.0
8466d37ffffffff,205.0,0.0,11.0
8466d39ffffffff,6.0,0.0,0.0
8466d3dffffffff,53.0,0.0,5.0
8466da7ffffffff,7.0,0.0,0.0
8466dadffffffff,5.0,0.0,0.0
8466de1ffffffff,1181.0,107.0,0.0
8466de9ffffffff,5.0,1.0,0.0
8466debffffffff,1.0,0.0,0.0
8466dedffffffff,73.0,2.0,0.0
8466e03ffffffff,20.0,0.0,0.0
8466e07ffffffff,2.0,0.0,0.0
8466e09ffffffff,277.0,3.0,0.0
8466e0bffffffff,142.0,1.0,0.0
8466e0dffffffff,16.0,0.0,0.0
8466e3dffffffff,13.0,0.0,0.0
8466e41ffffffff,2.0,0.0,0.0
8466e47ffffffff,315.0,7.0,0.0
8466e51ffffffff,1.0,0.0,0.0
8466e55ffffffff,89.0,0.0,0.0
8466e61ffffffff,3.0,0.0,0.0
8466e69ffffffff,1.0,0.0,0.0
8466f1dffffffff,20.0,0.0,1.0
8466f3bffffffff,4.0,0.0,0.0
8466f57ffffffff,4.0,0.0,0.0
8466f59ffffffff,18.0,0.0,0.0
8466f5dffffffff,8.0,0.0,0.0
848b613ffffffff,4.0,0.0,0.0
848b617ffffffff,69.0,0.0,0.0
848b6c1ffffffff,9.0,0.0,0.0
848b6c9ffffffff,8.0,0.0,0.0
848b6cbffffffff,2.0,0.0,0.0
848b6cdffffffff,94.0,0.0,0.0
848e619ffffffff,2.0,0.0,0.0
848e641ffffffff,72.0,0.0,0.0
848e643ffffffff,7.0,0.0,0.0
848e645ffffffff,3.0,0.0,0.0
848e649ffffffff,56.0,0.0,0.0
848e64bffffffff,97.0,0.0,0.0
848e651ffffffff,53.0,0.0,0.0
848e6c9ffffffff,8.0,0.0,0.0
848e6cbffffffff,2.0,0.0,0.0
848e6d9ffffffff,4.0,0.0,0.0
848f0d9ffffffff,1.0,0.0,0.0
848f0dbffffffff,110.0,0.0,0.0
848f291ffffffff,18.0,0.0,0.0
848f293ffffffff,3.0,0.0,0.0
848f29bffffffff,6.0,0.0,0.0
848f2cbffffffff,3.0,0.0,0.0
848f2d3ffffffff,68.0,5.0,0.0
848f2ddffffffff,4.0,0.0,0.0
848f421ffffffff,34.0,0.0,0.0
848f425ffffffff,10.0,0.0,0.0
848f427ffffffff,4.0,0.0,0.0
848f429ffffffff,3.0,0.0,0.0
848f42dffffffff,12.0,0.0,0.0
848f439ffffffff,2.0,0.0,0.0
848f461ffffffff,2.0,0.0,0.0
848f463ffffffff,8.0,0.0,0.0
848f465ffffffff,29.0,0.0,0.0
848f467ffffffff,20.0,0.0,0.0
848f4a5ffffffff,68.0,0.0,0.0
848f4a7ffffffff,11.0,0.0,0.0
848f4adffffffff,22.0,0.0,0.0
848f4e5ffffffff,2.0,0.0,0.0
848f541ffffffff,10.0,0.0,0.0
848f549ffffffff,50.0,0.0,0.0
848f54bffffffff,12.0,0.0,0.0
848f555ffffffff,2.0,0.0,0.0
848f559ffffffff,44.0,0.0,0.0
848f55dffffffff,14.0,0.0,0.0
848f593ffffffff,1.0,0.0,0.0
848f59bffffffff,2.0,0.0,0.0
848f5d7ffffffff,2.0,0.0,0.0
848f5d9ffffffff,3.0,0.0,0.0
848f5ddffffffff,12.0,0.0,0.0
848f705ffffffff,50.0,8.0,0.0
848f70dffffffff,1.0,0.0,0.0
848f721ffffffff,91.0,10.0,0.0
848f727ffffffff,9.0,0.0,0.0
848f729ffffffff,42.0,0.0,0.0
848f72bffffffff,1.0,0.0,0.0
848f733ffffffff,735.0,29.0,0.0
848f745ffffffff,24.0,0.0,0.0
848f74dffffffff,2.0,0.0,0.0
848f761ffffffff,2.0,0.0,0.0
848f767ffffffff,1.0,0.0,0.0
848f769ffffffff,13.0,0.0,0.0
848f76bffffffff,98.0,2.0,0.0
