cell_id,Chiroxiphia pareola,Chiroxiphia pareola pareola/atlantica,Chiroxiphia pareola napensis,Chiroxiphia pareola regina
845f129ffffffff,1.0,0.0,0.0,0.0
845f12bffffffff,12.0,0.0,0.0,0.0
845f13bffffffff,3.0,0.0,0.0,0.0
845f13dffffffff,5.0,0.0,0.0,0.0
845f1cbffffffff,3.0,0.0,0.0,0.0
845f1edffffffff,1.0,0.0,0.0,0.0
845f223ffffffff,4.0,0.0,0.0,0.0
845f227ffffffff,4.0,0.0,0.0,0.0
845f291ffffffff,14.0,0.0,0.0,0.0
845f295ffffffff,30.0,0.0,0.0,0.0
845f297ffffffff,3.0,0.0,0.0,0.0
845f299ffffffff,16.0,0.0,0.0,0.0
845f29dffffffff,127.0,0.0,0.0,0.0
845f2b9ffffffff,1.0,0.0,0.0,0.0
845f2bbffffffff,7.0,0.0,0.0,0.0
845f2d1ffffffff,39.0,0.0,0.0,0.0
845f2d3ffffffff,1.0,0.0,0.0,0.0
845f2d5ffffffff,8.0,0.0,0.0,0.0
845f2d7ffffffff,22.0,0.0,0.0,0.0
845f2dbffffffff,2.0,0.0,0.0,0.0
845f407ffffffff,1.0,0.0,0.0,0.0
845f40dffffffff,2.0,0.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0,0.0
845f5b5ffffffff,659.0,0.0,0.0,0.0
845f5bdffffffff,27.0,0.0,0.0,0.0
8466c0dffffffff,2.0,0.0,0.0,0.0
8466c35ffffffff,2.0,0.0,0.0,0.0
8466c53ffffffff,6.0,0.0,0.0,0.0
8466c57ffffffff,3.0,0.0,0.0,0.0
8466cc5ffffffff,4.0,0.0,0.0,0.0
8466ce9ffffffff,13.0,0.0,0.0,0.0
8466cedffffffff,5.0,0.0,0.0,0.0
8466d81ffffffff,57.0,0.0,0.0,0.0
8466da3ffffffff,3.0,0.0,0.0,0.0
8466da9ffffffff,2.0,0.0,0.0,0.0
8466db1ffffffff,4.0,0.0,0.0,0.0
8466dc3ffffffff,82.0,0.0,3.0,0.0
8466dc7ffffffff,7.0,0.0,0.0,0.0
8466dd1ffffffff,2.0,0.0,0.0,0.0
