cell_id,Trogon elegans,Trogon elegans [ambiguus Group],Trogon elegans elegans/lubricus
8445209ffffffff,1.0,0.0,0.0
844520dffffffff,4.0,0.0,0.0
8445249ffffffff,2.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
844525bffffffff,13.0,0.0,0.0
8445263ffffffff,53.0,0.0,1.0
84480adffffffff,5.0,5.0,0.0
8448337ffffffff,2.0,0.0,0.0
84489c5ffffffff,17.0,0.0,0.0
8448a21ffffffff,2.0,2.0,0.0
8448b31ffffffff,2.0,0.0,0.0
8448b39ffffffff,297.0,2.0,0.0
8448c59ffffffff,150.0,9.0,0.0
8448c61ffffffff,2.0,0.0,0.0
8448c63ffffffff,1.0,0.0,0.0
8448e37ffffffff,3.0,0.0,0.0
8448e85ffffffff,26.0,0.0,0.0
8448e8dffffffff,1084.0,56.0,0.0
8448e97ffffffff,1.0,0.0,0.0
8448eabffffffff,3.0,0.0,0.0
8448ebbffffffff,3.0,2.0,0.0
8448ec7ffffffff,94.0,13.0,0.0
8448ee1ffffffff,5.0,0.0,0.0
8448ee9ffffffff,62.0,2.0,0.0
8448eebffffffff,186.0,15.0,0.0
8449839ffffffff,1.0,1.0,0.0
844983dffffffff,5.0,1.0,0.0
8449861ffffffff,1.0,0.0,0.0
84498d7ffffffff,2.0,0.0,0.0
8449903ffffffff,1.0,0.0,0.0
844994bffffffff,2.0,2.0,0.0
8449961ffffffff,3.0,3.0,0.0
8449987ffffffff,2.0,0.0,0.0
84499cdffffffff,1.0,0.0,0.0
846d293ffffffff,2.0,0.0,0.0
846d295ffffffff,2.0,0.0,0.0
846d297ffffffff,6.0,0.0,0.0
846d2d7ffffffff,17.0,0.0,5.0
846d305ffffffff,2.0,2.0,0.0
846d367ffffffff,2.0,0.0,0.0
846d643ffffffff,1.0,0.0,0.0
846d653ffffffff,2.0,0.0,0.0
846d655ffffffff,9.0,0.0,0.0
846d657ffffffff,6.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0
846d6b9ffffffff,2.0,0.0,0.0
846d6bbffffffff,11.0,0.0,0.0
846d6bdffffffff,2.0,0.0,0.0
846d745ffffffff,6.0,0.0,0.0
