cell_id,Myiozetetes similis,Myiozetetes similis [texensis Group],Myiozetetes similis [similis Group],Myiozetetes similis grandis
8445019ffffffff,3.0,0.0,0.0,0.0
844509bffffffff,4.0,3.0,0.0,0.0
84450a5ffffffff,2.0,0.0,0.0,0.0
844519bffffffff,3.0,0.0,0.0,0.0
8445201ffffffff,1.0,0.0,0.0,0.0
8445207ffffffff,2.0,0.0,0.0,0.0
844520dffffffff,2.0,0.0,0.0,0.0
8445215ffffffff,5.0,0.0,0.0,0.0
8445233ffffffff,1.0,1.0,0.0,0.0
8445263ffffffff,1.0,0.0,0.0,0.0
8445281ffffffff,1.0,0.0,0.0,0.0
8445295ffffffff,2.0,0.0,0.0,0.0
84452a5ffffffff,3.0,0.0,0.0,0.0
84452a9ffffffff,25.0,25.0,0.0,0.0
84452adffffffff,3.0,0.0,0.0,0.0
84452e3ffffffff,2.0,1.0,0.0,0.0
84452e5ffffffff,22.0,19.0,0.0,0.0
84452e9ffffffff,4.0,0.0,0.0,0.0
84452ebffffffff,2.0,0.0,0.0,0.0
8445727ffffffff,1.0,0.0,0.0,0.0
84480a9ffffffff,1.0,0.0,0.0,0.0
844833bffffffff,5.0,0.0,0.0,0.0
8448363ffffffff,2.0,0.0,0.0,0.0
8448365ffffffff,4.0,0.0,0.0,0.0
8448b15ffffffff,2.0,0.0,0.0,0.0
8448b2bffffffff,824.0,48.0,0.0,0.0
8449801ffffffff,1.0,1.0,0.0,0.0
8449861ffffffff,3.0,0.0,0.0,0.0
8449869ffffffff,4.0,2.0,0.0,0.0
844988dffffffff,2.0,0.0,0.0,0.0
8449901ffffffff,15.0,0.0,0.0,0.0
844990bffffffff,3.0,0.0,0.0,0.0
844991dffffffff,2.0,2.0,0.0,0.0
844994bffffffff,2.0,0.0,0.0,0.0
8449959ffffffff,9.0,0.0,0.0,0.0
8449961ffffffff,7.0,0.0,0.0,0.0
8449963ffffffff,22.0,13.0,0.0,0.0
8449965ffffffff,33.0,0.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0,0.0
844996bffffffff,2.0,0.0,0.0,0.0
844996dffffffff,2.0,0.0,0.0,0.0
8449987ffffffff,6.0,6.0,0.0,0.0
84499cdffffffff,1.0,0.0,0.0,0.0
8449a97ffffffff,2.0,0.0,0.0,0.0
8449b33ffffffff,4.0,4.0,0.0,0.0
8449b35ffffffff,2.0,0.0,0.0,0.0
8449b37ffffffff,3.0,1.0,0.0,0.0
8466105ffffffff,3.0,0.0,0.0,0.0
8466107ffffffff,11.0,0.0,0.0,0.0
8466129ffffffff,3.0,0.0,0.0,0.0
8466139ffffffff,8.0,0.0,0.0,0.0
8466163ffffffff,182.0,0.0,1.0,0.0
8466167ffffffff,111.0,0.0,1.0,0.0
846618bffffffff,1.0,0.0,0.0,0.0
84661b1ffffffff,3.0,0.0,0.0,0.0
8466415ffffffff,1.0,0.0,0.0,0.0
8466569ffffffff,4.0,0.0,0.0,0.0
8466a51ffffffff,6.0,0.0,0.0,0.0
8466b0bffffffff,7.0,0.0,4.0,0.0
8466b1dffffffff,1.0,0.0,0.0,0.0
8466b41ffffffff,2.0,0.0,0.0,0.0
8466b47ffffffff,2.0,0.0,0.0,0.0
8466b49ffffffff,6.0,3.0,0.0,0.0
