cell_id,Ramphocaenus melanurus,Ramphocaenus melanurus [rufiventris Group],Ramphocaenus melanurus [melanurus Group]
824507fffffffff,160.0,0.0,0.0
82450ffffffffff,1477.0,60.0,0.0
824527fffffffff,3010.0,48.0,0.0
82452ffffffffff,10336.0,525.0,0.0
824537fffffffff,620.0,0.0,0.0
824577fffffffff,10.0,0.0,0.0
825f07fffffffff,101.0,0.0,3.0
825f0ffffffffff,12.0,0.0,0.0
825f17fffffffff,56.0,0.0,0.0
825f1ffffffffff,1.0,0.0,0.0
825f2ffffffffff,276.0,0.0,0.0
825f47fffffffff,24.0,0.0,1.0
825f4ffffffffff,59.0,0.0,1.0
825f57fffffffff,10.0,0.0,0.0
825f5ffffffffff,728.0,0.0,0.0
825f6ffffffffff,55.0,0.0,0.0
825f77fffffffff,151.0,0.0,0.0
826607fffffffff,66.0,0.0,0.0
82660ffffffffff,193.0,0.0,0.0
826617fffffffff,772.0,77.0,0.0
82661ffffffffff,947.0,0.0,0.0
826627fffffffff,719.0,15.0,0.0
82662ffffffffff,59.0,0.0,4.0
826637fffffffff,13.0,0.0,0.0
826647fffffffff,45.0,0.0,0.0
82664ffffffffff,2.0,0.0,0.0
826657fffffffff,29.0,0.0,0.0
826667fffffffff,21.0,0.0,0.0
82666ffffffffff,14.0,0.0,0.0
826677fffffffff,9.0,0.0,0.0
8266a7fffffffff,5633.0,409.0,0.0
8266b7fffffffff,3698.0,10.0,0.0
8266c7fffffffff,46.0,0.0,0.0
8266cffffffffff,2.0,0.0,0.0
8266d7fffffffff,44.0,4.0,0.0
8266dffffffffff,344.0,0.0,58.0
8266e7fffffffff,864.0,0.0,0.0
8266effffffffff,411.0,0.0,0.0
8266f7fffffffff,384.0,0.0,0.0
826747fffffffff,282.0,0.0,8.0
82674ffffffffff,1939.0,0.0,37.0
826757fffffffff,245.0,0.0,0.0
82675ffffffffff,178.0,0.0,2.0
826797fffffffff,106.0,0.0,0.0
82679ffffffffff,1278.0,5.0,0.0
826d07fffffffff,72.0,16.0,0.0
826d27fffffffff,564.0,111.0,0.0
826d2ffffffffff,2205.0,133.0,0.0
826d37fffffffff,279.0,38.0,0.0
826d67fffffffff,349.0,0.0,0.0
826d6ffffffffff,8894.0,0.0,0.0
826d77fffffffff,114.0,0.0,0.0
828007fffffffff,10.0,0.0,0.0
82800ffffffffff,7.0,0.0,0.0
82802ffffffffff,1.0,0.0,0.0
828047fffffffff,254.0,0.0,0.0
82804ffffffffff,19.0,0.0,0.0
828057fffffffff,10.0,0.0,0.0
828067fffffffff,74.0,0.0,0.0
828077fffffffff,11.0,0.0,0.0
828107fffffffff,26.0,0.0,0.0
828117fffffffff,48.0,0.0,0.0
828137fffffffff,151.0,0.0,0.0
828147fffffffff,7.0,0.0,0.0
82814ffffffffff,330.0,0.0,0.0
82815ffffffffff,28.0,0.0,0.0
828187fffffffff,705.0,0.0,0.0
82819ffffffffff,18.0,0.0,0.0
8281affffffffff,4.0,0.0,0.0
828a07fffffffff,20.0,0.0,0.0
828a17fffffffff,44.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a47fffffffff,64.0,0.0,0.0
828a6ffffffffff,33.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0
828a87fffffffff,38.0,0.0,0.0
828a8ffffffffff,6.0,0.0,0.0
828a97fffffffff,9.0,0.0,0.0
828a9ffffffffff,6.0,0.0,0.0
828aaffffffffff,14.0,0.0,0.0
828adffffffffff,56.0,0.0,5.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,596.0,0.0,0.0
828b47fffffffff,26.0,0.0,0.0
828b67fffffffff,6.0,0.0,4.0
828b6ffffffffff,7.0,0.0,2.0
828b77fffffffff,2.0,0.0,0.0
828b87fffffffff,19.0,0.0,0.0
828b8ffffffffff,3.0,0.0,0.0
828b9ffffffffff,189.0,0.0,0.0
828ba7fffffffff,2.0,0.0,0.0
828f0ffffffffff,34.0,0.0,0.0
828f2ffffffffff,268.0,11.0,0.0
828f47fffffffff,16.0,0.0,1.0
828f4ffffffffff,22.0,0.0,0.0
828f67fffffffff,3.0,0.0,0.0
828f77fffffffff,1.0,0.0,1.0
82a597fffffffff,140.0,0.0,0.0
82a807fffffffff,324.0,0.0,72.0
82a817fffffffff,1149.0,0.0,141.0
82a827fffffffff,2.0,0.0,0.0
82a837fffffffff,293.0,0.0,0.0
82a887fffffffff,3.0,0.0,0.0
82a897fffffffff,18.0,0.0,0.0
82a8a7fffffffff,360.0,0.0,45.0
82a8cffffffffff,8.0,0.0,0.0
