cell_id,Rhea pennata,Rhea pennata tarapacensis/garleppi,Rhea pennata pennata
84b2081ffffffff,5.0,0.0,0.0
84b2085ffffffff,3.0,0.0,0.0
84b2089ffffffff,1.0,0.0,0.0
84b208dffffffff,1.0,0.0,0.0
84b2097ffffffff,7.0,0.0,0.0
84b20abffffffff,4.0,0.0,0.0
84b20c7ffffffff,2.0,0.0,0.0
84b2283ffffffff,1.0,0.0,0.0
84b228bffffffff,1.0,0.0,0.0
84b229dffffffff,1.0,0.0,0.0
84b2c81ffffffff,3.0,0.0,0.0
84b2c83ffffffff,4.0,0.0,0.0
84b2c8bffffffff,4.0,0.0,0.0
84b2cc3ffffffff,2.0,0.0,0.0
84b2cc7ffffffff,1.0,0.0,0.0
84b2ccbffffffff,2.0,0.0,0.0
84b2cddffffffff,4.0,0.0,0.0
84b2e11ffffffff,2.0,0.0,0.0
84b2e17ffffffff,4.0,0.0,0.0
84b2ea7ffffffff,2.0,0.0,0.0
84b2eb3ffffffff,2.0,0.0,0.0
84b2eb7ffffffff,1.0,0.0,0.0
84b2ee9ffffffff,12.0,0.0,0.0
84b3011ffffffff,5.0,0.0,0.0
84b3013ffffffff,1.0,1.0,0.0
84b3019ffffffff,7.0,5.0,0.0
84b301bffffffff,2.0,0.0,0.0
84b304bffffffff,2.0,2.0,0.0
84b3051ffffffff,130.0,83.0,0.0
84b3053ffffffff,18.0,5.0,0.0
84b3059ffffffff,82.0,34.0,0.0
84b305dffffffff,190.0,122.0,0.0
84b3081ffffffff,6.0,2.0,0.0
84b3085ffffffff,1.0,0.0,0.0
84b308bffffffff,3.0,0.0,0.0
84b308dffffffff,5.0,2.0,0.0
84b3091ffffffff,4.0,0.0,0.0
84b3095ffffffff,4.0,0.0,0.0
84b3097ffffffff,3.0,0.0,0.0
84b309dffffffff,1.0,0.0,0.0
84b30b1ffffffff,1.0,0.0,0.0
84b30b3ffffffff,2.0,0.0,0.0
84b30b9ffffffff,10.0,8.0,0.0
84b30bbffffffff,26.0,20.0,0.0
84b30bdffffffff,2.0,2.0,0.0
