cell_id,Sylvia abyssinica,Sylvia abyssinica monachus,Sylvia abyssinica claudei,Sylvia abyssinica stierlingi,Sylvia abyssinica abyssinica/stictigula
8452863ffffffff,2.0,0.0,0.0,0.0,0.0
84529b5ffffffff,2.0,0.0,0.0,0.0,0.0
84529b9ffffffff,2.0,0.0,0.0,0.0,0.0
8458c27ffffffff,1.0,0.0,0.0,0.0,0.0
846a5abffffffff,1.0,0.0,0.0,0.0,0.0
846ad1bffffffff,1.0,0.0,0.0,0.0,0.0
846aee3ffffffff,1.0,0.0,0.0,0.0,0.0
847a40bffffffff,1.0,0.0,0.0,0.0,0.0
847a41bffffffff,4.0,0.0,0.0,0.0,0.0
847a43bffffffff,3.0,0.0,0.0,0.0,0.0
847a451ffffffff,1.0,0.0,0.0,0.0,0.0
847a453ffffffff,31.0,0.0,0.0,0.0,0.0
847a455ffffffff,184.0,0.0,0.0,0.0,0.0
847a457ffffffff,46.0,0.0,0.0,0.0,0.0
847a45bffffffff,59.0,0.0,0.0,0.0,0.0
847a489ffffffff,8.0,0.0,0.0,0.0,0.0
847a48bffffffff,19.0,0.0,0.0,0.0,4.0
847a48dffffffff,2.0,0.0,0.0,0.0,0.0
847a4c3ffffffff,1.0,0.0,0.0,0.0,0.0
847a4c5ffffffff,10.0,0.0,0.0,0.0,0.0
847a4c7ffffffff,3.0,0.0,0.0,0.0,0.0
847a4c9ffffffff,6.0,0.0,0.0,0.0,0.0
847a4cbffffffff,7.0,0.0,0.0,0.0,0.0
847a60bffffffff,4.0,0.0,0.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0,0.0,0.0
847a619ffffffff,3.0,0.0,0.0,0.0,0.0
847a651ffffffff,1.0,0.0,0.0,0.0,0.0
847a653ffffffff,3.0,0.0,0.0,0.0,0.0
847a659ffffffff,4.0,0.0,0.0,0.0,0.0
847a68dffffffff,3.0,0.0,0.0,0.0,0.0
847a6a3ffffffff,2.0,0.0,0.0,0.0,0.0
847a6adffffffff,1.0,0.0,0.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0,0.0,0.0
847a6b7ffffffff,2.0,0.0,0.0,0.0,0.0
847a6bdffffffff,1.0,0.0,0.0,0.0,0.0
847a6e5ffffffff,1.0,0.0,0.0,0.0,0.0
847a6e7ffffffff,16.0,0.0,0.0,0.0,0.0
847ac13ffffffff,1.0,0.0,0.0,0.0,0.0
847ac81ffffffff,10.0,0.0,0.0,0.0,5.0
847ac87ffffffff,1.0,0.0,0.0,0.0,0.0
847aca3ffffffff,2.0,0.0,0.0,0.0,0.0
847acc5ffffffff,14.0,0.0,0.0,0.0,14.0
847accdffffffff,53.0,0.0,0.0,0.0,9.0
847acd5ffffffff,32.0,0.0,0.0,0.0,5.0
847acd9ffffffff,1.0,0.0,0.0,0.0,0.0
847ae87ffffffff,2.0,0.0,0.0,0.0,0.0
847aeabffffffff,2.0,0.0,0.0,0.0,0.0
847b487ffffffff,5.0,0.0,0.0,0.0,0.0
847b4b1ffffffff,3.0,0.0,0.0,0.0,0.0
847b4b3ffffffff,7.0,0.0,0.0,0.0,0.0
847b4b7ffffffff,5.0,0.0,0.0,0.0,0.0
847b4b9ffffffff,91.0,0.0,0.0,0.0,0.0
847b4bdffffffff,2.0,0.0,0.0,0.0,0.0
8482d03ffffffff,13.0,0.0,12.0,0.0,0.0
8482d1dffffffff,6.0,0.0,4.0,0.0,0.0
8482d3dffffffff,32.0,18.0,0.0,0.0,0.0
8483263ffffffff,1.0,0.0,0.0,0.0,0.0
848332bffffffff,3.0,0.0,0.0,0.0,0.0
8483337ffffffff,1.0,0.0,0.0,0.0,0.0
848333dffffffff,9.0,0.0,0.0,0.0,0.0
84968d1ffffffff,4.0,0.0,0.0,0.0,0.0
8496903ffffffff,4.0,0.0,0.0,0.0,0.0
8496921ffffffff,2.0,0.0,0.0,0.0,0.0
8496925ffffffff,29.0,0.0,0.0,0.0,0.0
8496935ffffffff,29.0,0.0,0.0,0.0,0.0
8496a03ffffffff,2.0,0.0,0.0,0.0,0.0
8496b09ffffffff,18.0,0.0,0.0,0.0,0.0
8496b21ffffffff,4.0,0.0,0.0,0.0,0.0
8496b2bffffffff,6.0,0.0,0.0,0.0,0.0
8496b5bffffffff,2.0,0.0,0.0,0.0,0.0
8496b67ffffffff,6.0,0.0,0.0,0.0,0.0
8496d67ffffffff,2.0,0.0,0.0,0.0,0.0
84978ebffffffff,6.0,0.0,0.0,0.0,0.0
