cell_id,Swynnertonia swynnertoni,Swynnertonia swynnertoni rodgersi,Swynnertonia swynnertoni swynnertoni
8296b7fffffffff,10.0,0.0,0.0
829717fffffffff,3.0,0.0,1.0
