cell_id,Anas andium,Anas andium altipetens,Anas andium andium
8466095ffffffff,1.0,0.0,0.0
846609dffffffff,2.0,0.0,0.0
8466299ffffffff,2.0,0.0,0.0
8466d19ffffffff,8.0,0.0,0.0
8466d1dffffffff,18.0,0.0,2.0
8466d33ffffffff,93.0,0.0,0.0
8466de5ffffffff,5.0,0.0,0.0
8466dedffffffff,1.0,0.0,0.0
8466e01ffffffff,1.0,0.0,0.0
8466e09ffffffff,3.0,2.0,1.0
8466e43ffffffff,6.0,0.0,0.0
8466e55ffffffff,2.0,0.0,0.0
8466e61ffffffff,5.0,0.0,0.0
8466e6dffffffff,7.0,0.0,0.0
848f54dffffffff,1.0,0.0,1.0
848f765ffffffff,21.0,0.0,0.0
848f76dffffffff,2.0,0.0,0.0
