cell_id,Egretta gularis,Egretta gularis gularis,Egretta gularis schistacea
822c87fffffffff,38.0,0.0,2.0
822c97fffffffff,798.0,0.0,156.0
822c9ffffffffff,29.0,0.0,12.0
822d97fffffffff,1.0,0.0,0.0
823c97fffffffff,138.0,0.0,0.0
823c9ffffffffff,4.0,0.0,0.0
823e2ffffffffff,1.0,0.0,0.0
823e47fffffffff,412.0,0.0,7.0
823e4ffffffffff,17.0,0.0,2.0
823e5ffffffffff,16.0,0.0,0.0
823e67fffffffff,11.0,0.0,6.0
823e6ffffffffff,1213.0,0.0,195.0
823e77fffffffff,5.0,0.0,0.0
823f5ffffffffff,1.0,0.0,0.0
824237fffffffff,82.0,0.0,0.0
8242c7fffffffff,2516.0,0.0,0.0
8242cffffffffff,321.0,0.0,0.0
8242d7fffffffff,37.0,0.0,0.0
8242dffffffffff,1380.0,0.0,0.0
8242e7fffffffff,104.0,0.0,0.0
8242effffffffff,19.0,0.0,0.0
824317fffffffff,142.0,0.0,3.0
82431ffffffffff,318.0,0.0,3.0
824337fffffffff,26.0,0.0,0.0
82438ffffffffff,262.0,0.0,77.0
824397fffffffff,1.0,0.0,0.0
82439ffffffffff,196.0,0.0,90.0
8243a7fffffffff,1047.0,0.0,107.0
8243affffffffff,1873.0,0.0,378.0
825217fffffffff,44.0,0.0,4.0
82521ffffffffff,52.0,0.0,2.0
825237fffffffff,22.0,0.0,0.0
82524ffffffffff,206.0,0.0,83.0
82528ffffffffff,2.0,0.0,0.0
8252d7fffffffff,154.0,0.0,5.0
8252f7fffffffff,8.0,0.0,0.0
825317fffffffff,11.0,0.0,0.0
825347fffffffff,15.0,0.0,0.0
82534ffffffffff,35.0,0.0,9.0
825367fffffffff,27.0,0.0,3.0
82536ffffffffff,169.0,0.0,7.0
8253a7fffffffff,69.0,0.0,26.0
8253affffffffff,86.0,0.0,0.0
825407fffffffff,2.0,2.0,0.0
82540ffffffffff,5.0,0.0,0.0
825417fffffffff,362.0,118.0,0.0
82541ffffffffff,454.0,139.0,0.0
825437fffffffff,7.0,2.0,0.0
825447fffffffff,2.0,0.0,0.0
825497fffffffff,30.0,0.0,0.0
8254affffffffff,783.0,201.0,0.0
8254b7fffffffff,11.0,0.0,0.0
8254c7fffffffff,31.0,14.0,0.0
8254cffffffffff,4.0,0.0,0.0
8254e7fffffffff,16.0,5.0,0.0
8254effffffffff,2.0,2.0,0.0
8254f7fffffffff,373.0,76.0,0.0
825517fffffffff,6.0,0.0,0.0
82574ffffffffff,3.0,0.0,0.0
825887fffffffff,1.0,0.0,0.0
825897fffffffff,31.0,0.0,0.0
82599ffffffffff,4.0,0.0,0.0
826007fffffffff,1807.0,0.0,0.0
82600ffffffffff,1.0,0.0,0.0
826017fffffffff,129.0,0.0,0.0
82601ffffffffff,1232.0,0.0,0.0
826027fffffffff,1407.0,0.0,0.0
826037fffffffff,78.0,0.0,0.0
82608ffffffffff,1113.0,0.0,0.0
82609ffffffffff,9.0,0.0,0.0
8260affffffffff,554.0,0.0,0.0
8260f7fffffffff,12.0,0.0,0.0
826107fffffffff,28.0,0.0,0.0
82611ffffffffff,181.0,0.0,0.0
82618ffffffffff,251.0,0.0,0.0
82619ffffffffff,58.0,0.0,0.0
8261affffffffff,68.0,0.0,0.0
826327fffffffff,54.0,0.0,8.0
826337fffffffff,286.0,0.0,82.0
8263affffffffff,25.0,0.0,0.0
827437fffffffff,1.0,0.0,0.0
82750ffffffffff,178.0,57.0,0.0
82751ffffffffff,2.0,1.0,0.0
827527fffffffff,2.0,0.0,0.0
82752ffffffffff,6.0,0.0,0.0
827577fffffffff,151.0,34.0,0.0
827587fffffffff,4.0,0.0,0.0
827a6ffffffffff,7.0,0.0,0.0
827acffffffffff,21.0,0.0,0.0
827adffffffffff,11.0,0.0,0.0
8282c7fffffffff,47.0,0.0,0.0
8282d7fffffffff,131.0,48.0,0.0
8282dffffffffff,2.0,0.0,0.0
8282e7fffffffff,51.0,5.0,0.0
8282f7fffffffff,28.0,8.0,0.0
