cell_id,Antrostomus rufus,Antrostomus rufus [rufus Group],Antrostomus rufus otiosus,Antrostomus rufus minimus
835e46fffffffff,20.0,0.0,15.0,0.0
835f08fffffffff,8.0,0.0,0.0,0.0
835f09fffffffff,2.0,0.0,0.0,0.0
835f0dfffffffff,2.0,0.0,0.0,0.0
835f29fffffffff,3.0,0.0,0.0,0.0
835f2bfffffffff,6.0,0.0,0.0,0.0
835f46fffffffff,1.0,0.0,0.0,0.0
835f58fffffffff,32.0,0.0,0.0,0.0
836610fffffffff,65.0,0.0,0.0,3.0
836613fffffffff,13.0,0.0,0.0,0.0
836616fffffffff,17.0,0.0,0.0,3.0
836620fffffffff,36.0,0.0,0.0,0.0
836621fffffffff,1.0,0.0,0.0,0.0
836622fffffffff,31.0,0.0,0.0,0.0
836629fffffffff,1.0,0.0,0.0,0.0
83662cfffffffff,2.0,0.0,0.0,0.0
83662dfffffffff,10.0,0.0,0.0,0.0
83662efffffffff,17.0,0.0,0.0,0.0
836631fffffffff,22.0,0.0,0.0,0.0
836640fffffffff,1.0,0.0,0.0,0.0
836645fffffffff,2.0,0.0,0.0,0.0
836652fffffffff,51.0,0.0,0.0,0.0
836654fffffffff,2.0,0.0,0.0,0.0
836656fffffffff,1.0,0.0,0.0,0.0
836663fffffffff,2.0,0.0,0.0,0.0
83666efffffffff,14.0,0.0,0.0,0.0
836673fffffffff,2.0,0.0,0.0,0.0
836676fffffffff,4.0,0.0,0.0,0.0
836684fffffffff,21.0,0.0,0.0,1.0
8366a0fffffffff,12.0,0.0,0.0,0.0
8366a1fffffffff,3.0,0.0,0.0,1.0
8366a2fffffffff,4.0,0.0,0.0,0.0
8366a3fffffffff,9.0,0.0,0.0,0.0
8366a5fffffffff,135.0,0.0,0.0,10.0
8366b0fffffffff,21.0,0.0,0.0,0.0
8366b4fffffffff,27.0,0.0,0.0,0.0
8366b5fffffffff,32.0,0.0,0.0,1.0
8366ecfffffffff,3.0,0.0,0.0,0.0
836741fffffffff,4.0,0.0,0.0,0.0
836742fffffffff,5.0,0.0,0.0,0.0
836743fffffffff,23.0,0.0,0.0,0.0
83674cfffffffff,20.0,0.0,0.0,0.0
83674efffffffff,26.0,0.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0,0.0
