cell_id,Plocepasser mahali,Plocepasser mahali melanorhynchus,Plocepasser mahali ansorgei,Plocepasser mahali pectoralis,Plocepasser mahali mahali
847a401ffffffff,4.0,2.0,0.0,0.0,0.0
847a41bffffffff,1.0,0.0,0.0,0.0,0.0
847a4cdffffffff,2.0,2.0,0.0,0.0,0.0
847a641ffffffff,1.0,0.0,0.0,0.0,0.0
847a6a1ffffffff,1.0,1.0,0.0,0.0,0.0
847a6adffffffff,5.0,5.0,0.0,0.0,0.0
847a6e5ffffffff,1.0,0.0,0.0,0.0,0.0
847ac8bffffffff,2.0,2.0,0.0,0.0,0.0
8496207ffffffff,1.0,0.0,0.0,0.0,0.0
8496b6dffffffff,9.0,0.0,0.0,0.0,0.0
84971d9ffffffff,2.0,0.0,0.0,0.0,0.0
84974abffffffff,3.0,0.0,1.0,0.0,2.0
8497509ffffffff,1.0,0.0,0.0,0.0,0.0
8497827ffffffff,2.0,0.0,0.0,2.0,0.0
84ac801ffffffff,2.0,0.0,2.0,0.0,0.0
84ac863ffffffff,1.0,0.0,1.0,0.0,0.0
84ac867ffffffff,1.0,0.0,1.0,0.0,0.0
84ac969ffffffff,1.0,0.0,1.0,0.0,0.0
84ac96dffffffff,1.0,0.0,1.0,0.0,0.0
84aca15ffffffff,1.0,0.0,1.0,0.0,0.0
84aca3dffffffff,2.0,0.0,2.0,0.0,0.0
84acb1bffffffff,1.0,0.0,1.0,0.0,0.0
84bc433ffffffff,1.0,0.0,0.0,0.0,0.0
84bcde5ffffffff,3.0,0.0,0.0,0.0,0.0
84bcf29ffffffff,1.0,0.0,0.0,0.0,0.0
