cell_id,Camaroptera brachyura,Camaroptera brachyura [brevicaudata Group],Camaroptera brachyura [brachyura Group]
8354a9fffffffff,2.0,2.0,0.0
8354e2fffffffff,2.0,0.0,0.0
836a69fffffffff,3.0,0.0,0.0
837a41fffffffff,1.0,0.0,0.0
837a4cfffffffff,1.0,0.0,0.0
837a73fffffffff,3.0,3.0,0.0
837acdfffffffff,4.0,4.0,0.0
837ad9fffffffff,2.0,2.0,0.0
837b48fffffffff,7.0,0.0,7.0
837b4cfffffffff,116.0,0.0,61.0
837b4efffffffff,2.0,0.0,0.0
839703fffffffff,3.0,0.0,3.0
839729fffffffff,7.0,7.0,0.0
83972efffffffff,7.0,3.0,0.0
839748fffffffff,1.0,1.0,0.0
83974afffffffff,1.0,1.0,0.0
83974efffffffff,2.0,2.0,0.0
839751fffffffff,4.0,4.0,0.0
83bc89fffffffff,1.0,0.0,1.0
83bcd0fffffffff,2.0,0.0,2.0
83bcd6fffffffff,1.0,0.0,1.0
83bcdcfffffffff,4.0,4.0,0.0
83bcddfffffffff,2.0,2.0,0.0
