cell_id,Phylloscopus trochiloides,Phylloscopus trochiloides viridanus,Phylloscopus trochiloides trochiloides/ludlowi,Phylloscopus trochiloides obscuratus
8408867ffffffff,3.0,0.0,0.0,0.0
8408985ffffffff,4.0,0.0,0.0,0.0
8408995ffffffff,6.0,0.0,0.0,0.0
84089a9ffffffff,1.0,0.0,0.0,0.0
84089bdffffffff,2.0,0.0,0.0,0.0
84089e3ffffffff,4.0,0.0,0.0,0.0
8408d19ffffffff,2.0,0.0,0.0,0.0
8408d37ffffffff,2.0,0.0,0.0,0.0
8408d39ffffffff,2.0,0.0,0.0,0.0
8408d85ffffffff,3.0,0.0,0.0,0.0
8408d89ffffffff,2.0,0.0,0.0,0.0
8408d8bffffffff,11.0,0.0,0.0,0.0
8408de7ffffffff,1.0,0.0,0.0,0.0
8408f29ffffffff,1.0,0.0,0.0,0.0
840a337ffffffff,7.0,0.0,0.0,0.0
840bb03ffffffff,1.0,0.0,0.0,0.0
8410165ffffffff,2.0,0.0,0.0,0.0
8410231ffffffff,2.0,0.0,0.0,0.0
8410245ffffffff,1.0,0.0,0.0,0.0
8410c05ffffffff,7.0,0.0,0.0,0.0
8410c07ffffffff,6.0,0.0,0.0,0.0
8410c23ffffffff,78.0,0.0,0.0,0.0
8410c27ffffffff,12.0,0.0,0.0,0.0
8410c2bffffffff,8.0,0.0,0.0,0.0
8410c35ffffffff,14.0,0.0,0.0,0.0
8410d07ffffffff,1.0,0.0,0.0,0.0
8410d15ffffffff,2.0,0.0,0.0,0.0
8410d21ffffffff,2.0,0.0,0.0,0.0
8410d5bffffffff,2.0,0.0,0.0,0.0
8410dc9ffffffff,57.0,0.0,0.0,0.0
8410dcdffffffff,10.0,0.0,0.0,0.0
8410ee1ffffffff,110.0,0.0,0.0,0.0
8410f29ffffffff,1.0,0.0,0.0,0.0
8411009ffffffff,2.0,0.0,0.0,0.0
8411059ffffffff,2.0,0.0,0.0,0.0
8411169ffffffff,3.0,0.0,0.0,0.0
8411223ffffffff,2.0,0.0,0.0,0.0
8411235ffffffff,2.0,0.0,0.0,0.0
8411251ffffffff,2.0,0.0,0.0,0.0
841126dffffffff,4.0,2.0,0.0,0.0
8411281ffffffff,1.0,0.0,0.0,0.0
