cell_id,Myophonus caeruleus,Myophonus caeruleus caeruleus,Myophonus caeruleus [flavirostris Group]
822017fffffffff,1.0,0.0,1.0
82201ffffffffff,1.0,0.0,0.0
82209ffffffffff,6.0,0.0,0.0
8220a7fffffffff,3.0,0.0,0.0
8220e7fffffffff,5.0,0.0,1.0
82309ffffffffff,6.0,0.0,0.0
823187fffffffff,2.0,2.0,0.0
82318ffffffffff,3.0,0.0,0.0
823c07fffffffff,5.0,0.0,4.0
823c0ffffffffff,6.0,0.0,4.0
823c1ffffffffff,31.0,0.0,2.0
823c37fffffffff,20.0,0.0,11.0
823c47fffffffff,4.0,0.0,4.0
823c57fffffffff,12.0,0.0,12.0
823c5ffffffffff,26.0,0.0,24.0
823cc7fffffffff,6.0,0.0,0.0
823ce7fffffffff,6.0,0.0,3.0
823ceffffffffff,1.0,0.0,0.0
823d07fffffffff,2.0,0.0,0.0
823d17fffffffff,19.0,0.0,1.0
823d1ffffffffff,2.0,0.0,2.0
823d27fffffffff,3.0,0.0,0.0
823d37fffffffff,30.0,0.0,7.0
823daffffffffff,50.0,0.0,45.0
8240b7fffffffff,4.0,4.0,0.0
8240effffffffff,4.0,0.0,4.0
82411ffffffffff,2.0,2.0,0.0
82415ffffffffff,5.0,5.0,0.0
82416ffffffffff,2.0,2.0,0.0
824197fffffffff,6.0,0.0,0.0
8241a7fffffffff,6.0,0.0,0.0
8241b7fffffffff,4.0,0.0,0.0
824ba7fffffffff,1.0,0.0,0.0
826497fffffffff,4.0,0.0,2.0
8264a7fffffffff,2.0,2.0,0.0
826507fffffffff,22.0,0.0,0.0
82651ffffffffff,9.0,0.0,0.0
826527fffffffff,2.0,2.0,0.0
826937fffffffff,1.0,0.0,1.0
