cell_id,Podargus ocellatus,Podargus ocellatus [ocellatus Group],Podargus ocellatus plumiferus
8472a2bffffffff,9.0,0.0,0.0
8472d23ffffffff,24.0,1.0,0.0
8472d91ffffffff,2.0,0.0,0.0
8472d97ffffffff,5.0,1.0,0.0
8472db3ffffffff,1.0,0.0,0.0
8472dcbffffffff,1.0,1.0,0.0
8472de1ffffffff,1.0,0.0,0.0
8472f23ffffffff,94.0,1.0,0.0
8472f35ffffffff,1.0,0.0,0.0
8473987ffffffff,2.0,0.0,0.0
84739abffffffff,128.0,13.0,0.0
84739b1ffffffff,31.0,11.0,0.0
84739b5ffffffff,5.0,0.0,0.0
849c0a1ffffffff,1.0,0.0,0.0
849c0a7ffffffff,1.0,0.0,0.0
849c191ffffffff,201.0,19.0,0.0
849c193ffffffff,1.0,0.0,0.0
849c19dffffffff,10.0,0.0,0.0
849c851ffffffff,6.0,0.0,0.0
849c85bffffffff,6.0,2.0,0.0
849c8b5ffffffff,1.0,0.0,0.0
849c8e7ffffffff,1.0,0.0,0.0
849c993ffffffff,3.0,0.0,0.0
849c9d5ffffffff,10.0,0.0,0.0
849c9d7ffffffff,1.0,0.0,0.0
849caadffffffff,7.0,2.0,0.0
849cb51ffffffff,10.0,0.0,0.0
849cb59ffffffff,3.0,0.0,0.0
849cc2bffffffff,1.0,1.0,0.0
849cd2dffffffff,5.0,1.0,0.0
849cd31ffffffff,56.0,4.0,0.0
849cd33ffffffff,7.0,1.0,0.0
849cd35ffffffff,1.0,1.0,0.0
849cd37ffffffff,2.0,0.0,0.0
849cf53ffffffff,22.0,0.0,0.0
849d251ffffffff,3.0,0.0,0.0
84be883ffffffff,2.0,0.0,0.0
84be887ffffffff,7.0,0.0,0.0
84be88bffffffff,18.0,0.0,0.0
84be89dffffffff,18.0,0.0,0.0
84be8d1ffffffff,148.0,0.0,0.0
84be8d7ffffffff,27.0,0.0,1.0
84bea97ffffffff,1.0,0.0,0.0
84beab3ffffffff,124.0,0.0,8.0
84beabbffffffff,33.0,0.0,1.0
84bef6dffffffff,21.0,0.0,0.0
