cell_id,Quiscalus lugubris,Quiscalus lugubris [lugubris Group],Quiscalus lugubris fortirostris
824d4ffffffffff,1.0,0.0,0.0
825e5ffffffffff,1.0,0.0,0.0
825e67fffffffff,1.0,0.0,0.0
825e77fffffffff,21.0,0.0,0.0
825f5ffffffffff,3.0,0.0,0.0
82660ffffffffff,64.0,0.0,0.0
826617fffffffff,197.0,0.0,0.0
82661ffffffffff,99.0,0.0,0.0
826627fffffffff,15.0,0.0,0.0
82662ffffffffff,7.0,0.0,0.0
826637fffffffff,4.0,0.0,0.0
826667fffffffff,3.0,0.0,0.0
8266a7fffffffff,159.0,0.0,0.0
8266b7fffffffff,8.0,0.0,0.0
8266c7fffffffff,10.0,0.0,0.0
8266d7fffffffff,3.0,0.0,0.0
8266dffffffffff,2.0,0.0,0.0
8266e7fffffffff,71.0,0.0,0.0
8266effffffffff,5.0,0.0,0.0
8266f7fffffffff,7.0,0.0,0.0
826747fffffffff,25.0,0.0,0.0
82674ffffffffff,15.0,0.0,0.0
826757fffffffff,18.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0
826777fffffffff,4.0,0.0,0.0
826787fffffffff,1.0,0.0,0.0
82678ffffffffff,2.0,0.0,0.0
82679ffffffffff,6.0,0.0,0.0
